Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,06:15,13:30,17:15,18:46,20:15
,02-Oct-22,06:15,13:30,17:15,18:44,20:15
,03-Oct-22,06:15,13:30,17:15,18:41,20:15
,04-Oct-22,06:15,13:30,17:15,18:39,20:15
,05-Oct-22,06:15,13:30,17:15,18:37,20:15
,06-Oct-22,06:15,13:30,17:15,18:35,20:15
,07-Oct-22,06:15,13:30,17:15,18:32,20:15
,08-Oct-22,06:30,13:30,17:00,18:30,20:00
,09-Oct-22,06:30,13:30,17:00,18:28,20:00
,10-Oct-22,06:30,13:30,17:00,18:26,20:00
,11-Oct-22,06:30,13:30,17:00,18:24,20:00
,12-Oct-22,06:30,13:30,17:00,18:21,20:00
,13-Oct-22,06:30,13:30,17:00,18:19,20:00
,14-Oct-22,06:30,13:30,17:00,18:17,20:00
,15-Oct-22,06:30,13:30,16:45,18:15,19:45
,16-Oct-22,06:30,13:30,16:45,18:13,19:45
,17-Oct-22,06:30,13:30,16:45,18:11,19:45
,18-Oct-22,06:30,13:30,16:45,18:09,19:45
,19-Oct-22,06:30,13:30,16:45,18:06,19:45
,20-Oct-22,06:30,13:30,16:45,18:04,19:45
,21-Oct-22,06:30,13:30,16:45,18:02,19:45
,22-Oct-22,06:45,13:30,16:30,18:00,19:30
,23-Oct-22,06:45,13:30,16:30,17:58,19:30
,24-Oct-22,06:45,13:30,16:30,17:56,19:30
,25-Oct-22,06:45,13:30,16:30,17:54,19:30
,26-Oct-22,06:45,13:30,16:30,17:52,19:30
,27-Oct-22,06:45,13:30,16:30,17:50,19:30
,28-Oct-22,06:45,13:30,16:30,17:49,19:30
,29-Oct-22,06:45,13:30,16:30,17:47,19:30
,30-Oct-22,06:00,13:00,15:15,16:45,19:30
,31-Oct-22,06:00,13:00,15:15,16:43,19:30
