Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:21,13:30,18:00,19:52,21:15
,02-Apr-23,05:18,13:30,18:00,19:53,21:30
,03-Apr-23,05:16,13:30,18:00,19:55,21:30
,04-Apr-23,05:14,13:30,18:00,19:57,21:30
,05-Apr-23,05:12,13:30,18:00,19:58,21:30
,06-Apr-23,05:09,13:30,18:00,20:00,21:30
,07-Apr-23,05:07,13:20,18:00,20:02,21:30
,08-Apr-23,05:05,13:30,18:15,20:03,21:30
,09-Apr-23,05:03,13:30,18:15,20:05,21:30
,10-Apr-23,05:01,13:30,18:15,20:07,21:30
,11-Apr-23,04:58,13:30,18:15,20:08,21:30
,12-Apr-23,04:56,13:30,18:15,20:10,21:30
,13-Apr-23,04:54,13:30,18:15,20:12,21:30
,14-Apr-23,04:52,13:20,18:15,20:13,21:30
,15-Apr-23,04:50,13:30,18:15,20:15,21:45
,16-Apr-23,04:48,13:30,18:15,20:17,21:45
,17-Apr-23,04:45,13:30,18:15,20:18,21:45
,18-Apr-23,04:42,13:30,18:15,20:20,21:45
,19-Apr-23,04:40,13:30,18:15,20:22,21:45
,20-Apr-23,04:38,13:30,18:15,20:23,21:45
,21-Apr-23,04:45,13:20,18:15,20:16,21:45
,22-Apr-23,04:45,13:30,18:30,20:18,22:00
,23-Apr-23,04:45,13:30,18:30,20:19,22:00
,24-Apr-23,04:45,13:30,18:30,20:21,22:00
,25-Apr-23,04:45,13:30,18:30,20:22,22:00
,26-Apr-23,04:45,13:30,18:30,20:24,22:00
,27-Apr-23,04:45,13:30,18:30,20:26,22:00
,28-Apr-23,04:45,13:20,18:30,20:27,22:00
,29-Apr-23,04:45,13:30,18:30,20:29,22:00
,30-Apr-23,04:45,13:30,18:30,20:31,22:00
