Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,06:00,13:25,18:00,19:49,21:15
,02-Apr-22,05:25,13:30,18:00,19:51,21:15
,03-Apr-22,05:23,13:30,18:00,19:53,21:30
,04-Apr-22,05:21,13:30,18:00,19:54,21:30
,05-Apr-22,05:18,13:30,18:00,19:56,21:30
,06-Apr-22,05:16,13:30,18:00,19:58,21:30
,07-Apr-22,05:14,13:30,18:00,19:59,21:30
,08-Apr-22,05:12,13:25,18:15,20:01,21:30
,09-Apr-22,05:09,13:30,18:15,20:03,21:30
,10-Apr-22,05:07,13:30,18:15,20:04,21:30
,11-Apr-22,05:05,13:30,18:15,20:06,21:30
,12-Apr-22,05:03,13:30,18:15,20:08,21:30
,13-Apr-22,05:00,13:30,18:15,20:09,21:30
,14-Apr-22,04:57,13:30,18:15,20:11,21:30
,15-Apr-22,04:55,13:25,18:15,20:13,21:30
,16-Apr-22,04:52,13:30,18:15,20:14,21:30
,17-Apr-22,04:49,13:30,18:15,20:16,21:45
,18-Apr-22,04:47,13:30,18:15,20:18,21:45
,19-Apr-22,04:45,13:30,18:15,20:19,21:45
,20-Apr-22,04:42,13:30,18:15,20:21,21:45
,21-Apr-22,04:39,13:30,18:15,20:23,21:45
,22-Apr-22,04:37,13:25,18:30,20:24,21:45
,23-Apr-22,04:34,13:30,18:30,20:26,21:45
,24-Apr-22,04:31,13:30,18:30,20:28,22:00
,25-Apr-22,04:28,13:30,18:30,20:29,22:00
,26-Apr-22,04:25,13:30,18:30,20:31,22:00
,27-Apr-22,04:23,13:30,18:30,20:33,22:00
,28-Apr-22,04:20,13:30,18:30,20:34,22:00
,29-Apr-22,04:18,13:25,18:30,20:36,22:00
,30-Apr-22,04:16,13:30,18:30,20:38,22:00
