Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:22,13:30,18:00,19:51,21:21
,02-Apr-23,05:20,13:30,18:00,19:53,21:23
,03-Apr-23,05:17,13:30,18:00,19:55,21:25
,04-Apr-23,05:15,13:30,18:00,19:56,21:26
,05-Apr-23,05:13,13:30,18:00,19:58,21:28
,06-Apr-23,05:11,13:30,18:00,20:00,21:30
,07-Apr-23,05:08,13:45,18:00,20:01,21:31
,08-Apr-23,05:06,13:30,18:00,20:03,21:33
,09-Apr-23,05:04,13:30,18:00,20:05,21:35
,10-Apr-23,05:02,13:30,18:00,20:06,21:36
,11-Apr-23,04:59,13:30,18:00,20:08,21:38
,12-Apr-23,04:57,13:30,18:15,20:10,21:40
,13-Apr-23,04:55,13:30,18:15,20:11,21:41
,14-Apr-23,04:53,13:45,18:15,20:13,21:43
,15-Apr-23,04:51,13:30,18:15,20:15,21:45
,16-Apr-23,04:49,13:30,18:15,20:17,21:47
,17-Apr-23,04:46,13:30,18:15,20:18,21:48
,18-Apr-23,04:43,13:30,18:15,20:20,21:50
,19-Apr-23,04:41,13:30,18:15,20:22,21:52
,20-Apr-23,04:39,13:30,18:15,20:23,21:45
,21-Apr-23,04:36,13:45,18:15,20:17,21:45
,22-Apr-23,04:34,13:30,18:15,20:19,21:45
,23-Apr-23,04:32,13:30,18:15,20:20,21:45
,24-Apr-23,04:29,13:30,18:15,20:22,21:45
,25-Apr-23,04:27,13:30,18:15,20:24,21:45
,26-Apr-23,04:25,13:30,18:15,20:25,21:45
,27-Apr-23,04:22,13:30,18:30,20:27,22:00
,28-Apr-23,04:20,13:45,18:30,20:29,22:00
,29-Apr-23,04:18,13:30,18:30,20:30,22:00
,30-Apr-23,04:15,13:30,18:30,20:32,22:00
