Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-23,03:59,13:30,18:45,20:59,22:15
,02-Aug-23,04:00,13:30,18:45,20:58,22:15
,03-Aug-23,04:03,13:30,18:45,20:56,22:15
,04-Aug-23,04:04,13:45,18:45,20:54,22:15
,05-Aug-23,04:07,13:30,18:45,20:52,22:15
,06-Aug-23,04:08,13:30,18:45,20:51,22:00
,07-Aug-23,04:10,13:30,18:45,20:49,22:00
,08-Aug-23,04:13,13:30,18:45,20:47,22:00
,09-Aug-23,04:14,13:30,18:45,20:45,22:00
,10-Aug-23,04:16,13:30,18:45,20:43,22:00
,11-Aug-23,04:18,13:45,18:45,20:41,22:00
,12-Aug-23,04:20,13:30,18:45,20:40,22:00
,13-Aug-23,04:21,13:30,18:45,20:38,22:00
,14-Aug-23,04:24,13:30,18:30,20:36,21:45
,15-Aug-23,04:26,13:30,18:30,20:34,21:45
,16-Aug-23,04:27,13:30,18:30,20:32,21:45
,17-Aug-23,04:30,13:30,18:30,20:30,21:45
,18-Aug-23,04:31,13:45,18:30,20:28,21:45
,19-Aug-23,04:33,13:30,18:30,20:26,21:45
,20-Aug-23,04:36,13:30,18:30,20:24,21:45
,21-Aug-23,04:37,13:30,18:30,20:22,21:45
,22-Aug-23,04:39,13:30,18:30,20:19,21:45
,23-Aug-23,04:41,13:30,18:15,20:17,21:30
,24-Aug-23,04:43,13:30,18:15,20:15,21:30
,25-Aug-23,04:45,13:45,18:15,20:13,21:30
,26-Aug-23,04:47,13:30,18:15,20:11,21:30
,27-Aug-23,04:49,13:30,18:15,20:09,21:30
,28-Aug-23,04:50,13:30,18:15,20:07,21:30
,29-Aug-23,04:53,13:30,18:15,20:04,21:30
,30-Aug-23,04:54,13:30,18:15,20:02,21:30
,31-Aug-23,04:56,13:30,18:15,20:00,21:30
