Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-22,07:01,13:00,14:45,16:03,19:00
,02-Dec-22,07:02,13:00,14:45,16:03,19:00
,03-Dec-22,07:04,13:00,14:45,16:02,19:00
,04-Dec-22,07:05,13:00,14:45,16:02,19:00
,05-Dec-22,07:06,13:00,14:45,16:01,19:00
,06-Dec-22,07:07,13:00,14:45,16:01,19:00
,07-Dec-22,07:09,13:00,14:45,16:00,19:00
,08-Dec-22,07:10,13:00,14:45,16:00,19:00
,09-Dec-22,07:11,13:00,14:45,16:00,19:00
,10-Dec-22,07:12,13:00,14:45,16:00,19:00
,11-Dec-22,07:13,13:00,14:45,16:00,19:00
,12-Dec-22,07:14,13:00,14:45,15:59,19:00
,13-Dec-22,07:15,13:00,14:45,15:59,19:00
,14-Dec-22,07:16,13:00,14:45,16:00,19:00
,15-Dec-22,07:17,13:00,14:45,16:00,19:00
,16-Dec-22,07:18,13:00,14:45,16:00,19:00
,17-Dec-22,07:18,13:00,14:45,16:00,19:00
,18-Dec-22,07:19,13:00,14:45,16:00,19:00
,19-Dec-22,07:20,13:00,14:45,16:01,19:00
,20-Dec-22,07:20,13:00,14:45,16:01,19:00
,21-Dec-22,07:21,13:00,14:45,16:02,19:00
,22-Dec-22,07:21,13:00,14:45,16:02,19:00
,23-Dec-22,07:22,13:00,14:45,16:03,19:00
,24-Dec-22,07:22,13:00,14:45,16:03,19:00
,25-Dec-22,07:22,13:00,14:45,16:04,19:00
,26-Dec-22,07:23,13:00,14:45,16:05,19:00
,27-Dec-22,07:23,13:00,14:45,16:05,19:00
,28-Dec-22,07:23,13:00,14:45,16:06,19:00
,29-Dec-22,07:23,13:00,14:45,16:07,19:00
,30-Dec-22,07:23,13:00,14:45,16:08,19:00
,31-Dec-22,07:23,13:00,14:45,16:09,19:00
