Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-22,06:56,13:00,15:30,16:58,19:00
,02-Feb-22,06:54,13:00,15:30,17:00,19:00
,03-Feb-22,06:53,13:00,15:30,17:02,19:00
,04-Feb-22,06:51,13:00,15:30,17:03,19:00
,05-Feb-22,06:50,13:00,15:45,17:05,19:00
,06-Feb-22,06:48,13:00,15:45,17:07,19:00
,07-Feb-22,06:46,13:00,15:45,17:09,19:00
,08-Feb-22,06:44,13:00,15:45,17:11,19:00
,09-Feb-22,06:43,13:00,15:45,17:13,19:00
,10-Feb-22,06:41,13:00,15:45,17:14,19:00
,11-Feb-22,06:39,13:00,15:45,17:16,19:00
,12-Feb-22,06:37,13:00,16:00,17:18,19:15
,13-Feb-22,06:35,13:00,16:00,17:20,19:15
,14-Feb-22,06:34,13:00,16:00,17:22,19:15
,15-Feb-22,06:32,13:00,16:00,17:24,19:15
,16-Feb-22,06:30,13:00,16:00,17:25,19:15
,17-Feb-22,06:28,13:00,16:00,17:27,19:15
,18-Feb-22,06:26,13:00,16:00,17:29,19:15
,19-Feb-22,06:24,13:00,16:00,17:31,19:30
,20-Feb-22,06:22,13:00,16:00,17:33,19:30
,21-Feb-22,06:20,13:00,16:00,17:34,19:30
,22-Feb-22,06:18,13:00,16:00,17:36,19:30
,23-Feb-22,06:16,13:00,16:00,17:38,19:30
,24-Feb-22,06:14,13:00,16:00,17:40,19:30
,25-Feb-22,06:12,13:00,16:00,17:42,19:30
,26-Feb-22,06:09,13:00,16:15,17:43,19:30
,27-Feb-22,06:07,13:00,16:15,17:45,19:30
,28-Feb-22,06:05,13:00,16:15,17:47,19:30
