Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-22,07:23,13:00,14:45,16:10,19:00
,02-Jan-22,07:23,13:00,14:45,16:11,19:00
,03-Jan-22,07:23,13:00,14:45,16:13,19:00
,04-Jan-22,07:23,13:00,14:45,16:14,19:00
,05-Jan-22,07:22,13:00,14:45,16:15,19:00
,06-Jan-22,07:22,13:00,14:45,16:16,19:00
,07-Jan-22,07:22,13:00,14:45,16:17,19:00
,08-Jan-22,07:21,13:00,15:00,16:19,19:00
,09-Jan-22,07:21,13:00,15:00,16:20,19:00
,10-Jan-22,07:20,13:00,15:00,16:22,19:00
,11-Jan-22,07:20,13:00,15:00,16:23,19:00
,12-Jan-22,07:19,13:00,15:00,16:24,19:00
,13-Jan-22,07:18,13:00,15:00,16:26,19:00
,14-Jan-22,07:17,13:00,15:00,16:27,19:00
,15-Jan-22,07:17,13:00,15:00,16:29,19:00
,16-Jan-22,07:16,13:00,15:00,16:30,19:00
,17-Jan-22,07:15,13:00,15:00,16:32,19:00
,18-Jan-22,07:14,13:00,15:00,16:34,19:00
,19-Jan-22,07:13,13:00,15:00,16:35,19:00
,20-Jan-22,07:12,13:00,15:00,16:37,19:00
,21-Jan-22,07:11,13:00,15:00,16:39,19:00
,22-Jan-22,07:10,13:00,15:15,16:40,19:00
,23-Jan-22,07:08,13:00,15:15,16:42,19:00
,24-Jan-22,07:07,13:00,15:15,16:44,19:00
,25-Jan-22,07:06,13:00,15:15,16:46,19:00
,26-Jan-22,07:05,13:00,15:15,16:47,19:00
,27-Jan-22,07:03,13:00,15:15,16:49,19:00
,28-Jan-22,07:02,13:00,15:15,16:51,19:00
,29-Jan-22,07:00,13:00,15:30,16:53,19:00
,30-Jan-22,06:59,13:00,15:30,16:54,19:00
,31-Jan-22,06:58,13:00,15:30,16:56,19:00
