Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-23,04:30,13:30,19:15,20:57,22:15
,02-Aug-23,04:30,13:30,19:15,20:56,22:15
,03-Aug-23,04:30,13:30,19:15,20:54,22:15
,04-Aug-23,04:30,13:30,19:15,20:52,22:15
,05-Aug-23,04:30,13:30,19:15,20:51,22:15
,06-Aug-23,04:45,13:30,19:15,20:49,22:10
,07-Aug-23,04:45,13:30,19:15,20:47,22:10
,08-Aug-23,04:45,13:30,19:15,20:45,22:10
,09-Aug-23,04:45,13:30,19:15,20:43,22:10
,10-Aug-23,04:45,13:30,19:15,20:42,22:10
,11-Aug-23,04:45,13:30,19:15,20:40,22:10
,12-Aug-23,04:45,13:30,19:15,20:38,22:10
,13-Aug-23,05:00,13:30,18:45,20:36,21:55
,14-Aug-23,05:00,13:30,18:45,20:34,21:55
,15-Aug-23,05:00,13:30,18:45,20:32,21:55
,16-Aug-23,05:00,13:30,18:45,20:30,21:55
,17-Aug-23,05:00,13:30,18:45,20:28,21:55
,18-Aug-23,05:00,13:30,18:45,20:26,21:55
,19-Aug-23,05:00,13:30,18:45,20:24,21:55
,20-Aug-23,05:00,13:30,18:45,20:22,21:45
,21-Aug-23,05:00,13:30,18:45,20:20,21:45
,22-Aug-23,05:00,13:30,18:45,20:18,21:45
,23-Aug-23,05:00,13:30,18:45,20:16,21:45
,24-Aug-23,05:00,13:30,18:45,20:13,21:45
,25-Aug-23,05:00,13:30,18:45,20:11,21:45
,26-Aug-23,05:00,13:30,18:45,20:09,21:45
,27-Aug-23,05:15,13:30,18:15,20:07,21:30
,28-Aug-23,05:15,13:30,18:15,20:05,21:30
,29-Aug-23,05:15,13:30,18:15,20:03,21:30
,30-Aug-23,05:15,13:30,18:15,20:00,21:30
,31-Aug-23,05:15,13:30,18:15,19:58,21:30
