Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Nov-22,06:15,13:00,15:00,16:42,19:30
,02-Nov-22,06:15,13:00,15:00,16:41,19:30
,03-Nov-22,06:15,13:00,15:00,16:39,19:30
,04-Nov-22,06:15,13:00,15:00,16:37,19:30
,05-Nov-22,06:15,13:00,15:00,16:35,19:30
,06-Nov-22,06:15,13:00,15:00,16:34,19:30
,07-Nov-22,06:15,13:00,15:00,16:32,19:30
,08-Nov-22,06:15,13:00,15:00,16:30,19:30
,09-Nov-22,06:15,13:00,15:00,16:29,19:30
,10-Nov-22,06:15,13:00,15:00,16:27,19:30
,11-Nov-22,06:15,13:00,15:00,16:26,19:30
,12-Nov-22,06:30,13:00,14:45,16:24,19:30
,13-Nov-22,06:30,13:00,14:45,16:23,19:30
,14-Nov-22,06:30,13:00,14:45,16:21,19:30
,15-Nov-22,06:30,13:00,14:45,16:20,19:30
,16-Nov-22,06:30,13:00,14:45,16:19,19:30
,17-Nov-22,06:30,13:00,14:45,16:17,19:30
,18-Nov-22,06:30,13:00,14:45,16:16,19:30
,19-Nov-22,06:45,13:00,14:45,16:15,19:30
,20-Nov-22,06:45,13:00,14:45,16:14,19:30
,21-Nov-22,06:45,13:00,14:45,16:12,19:30
,22-Nov-22,06:45,13:00,14:45,16:11,19:30
,23-Nov-22,06:45,13:00,14:45,16:10,19:30
,24-Nov-22,06:45,13:00,14:45,16:09,19:30
,25-Nov-22,06:45,13:00,14:45,16:08,19:30
,26-Nov-22,06:45,13:00,14:45,16:07,19:30
,27-Nov-22,06:45,13:00,14:45,16:06,19:30
,28-Nov-22,06:45,13:00,14:45,16:06,19:30
,29-Nov-22,06:45,13:00,14:45,16:05,19:30
,30-Nov-22,06:45,13:00,14:45,16:04,19:30
