Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-Apr-16,06:00,13:30,18:00,19:37,21:15
,2-Apr-16,06:00,13:30,18:00,19:39,21:15
,3-Apr-16,06:00,13:30,18:00,19:40,21:15
,4-Apr-16,05:45,13:30,18:15,19:42,21:30
,5-Apr-16,05:45,13:30,18:15,19:44,21:30
,6-Apr-16,05:45,13:30,18:15,19:45,21:30
,7-Apr-16,05:45,13:30,18:15,19:47,21:30
,8-Apr-16,05:45,13:30,18:15,19:49,21:30
,9-Apr-16,05:45,13:30,18:15,19:50,21:30
,10-Apr-16,05:45,13:30,18:15,19:52,21:30
,11-Apr-16,05:30,13:30,18:30,19:54,21:45
,12-Apr-16,05:30,13:30,18:30,19:55,21:45
,13-Apr-16,05:30,13:30,18:30,19:57,21:45
,14-Apr-16,05:30,13:30,18:30,19:59,21:45
,15-Apr-16,05:30,13:30,18:30,20:00,21:45
,16-Apr-16,05:30,13:30,18:30,20:02,21:45
,17-Apr-16,05:30,13:30,18:30,20:04,21:45
,18-Apr-16,05:15,13:30,18:45,20:05,21:45
,19-Apr-16,05:15,13:30,18:45,20:07,21:45
,20-Apr-16,05:15,13:30,18:45,20:09,21:45
,21-Apr-16,05:15,13:30,18:45,20:10,21:45
,22-Apr-16,05:15,13:30,18:45,20:12,21:45
,23-Apr-16,05:15,13:30,18:45,20:14,21:45
,24-Apr-16,05:15,13:30,18:45,20:15,21:45
,25-Apr-16,05:00,13:30,19:15,20:17,22:00
,26-Apr-16,05:00,13:30,19:15,20:19,22:00
,27-Apr-16,05:00,13:30,19:15,20:20,22:00
,28-Apr-16,05:00,13:30,19:15,20:22,22:00
,29-Apr-16,05:00,13:30,19:15,20:24,22:00
,30-Apr-16,05:00,13:30,19:15,20:25,22:00
