Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-Aug-16,04:45,13:30,19:15,20:50,22:15
,2-Aug-16,04:45,13:30,19:15,20:48,22:15
,3-Aug-16,04:45,13:30,19:15,20:46,22:15
,4-Aug-16,04:45,13:30,19:15,20:45,22:15
,5-Aug-16,04:45,13:30,19:15,20:43,22:15
,6-Aug-16,05:00,13:30,19:15,20:41,22:15
,7-Aug-16,05:00,13:30,19:00,20:39,22:15
,8-Aug-16,05:00,13:30,19:00,20:37,22:15
,9-Aug-16,05:00,13:30,19:00,20:35,22:15
,10-Aug-16,05:00,13:30,19:00,20:34,22:15
,11-Aug-16,05:00,13:30,19:00,20:32,22:15
,12-Aug-16,05:00,13:30,19:00,20:30,22:15
,13-Aug-16,05:00,13:30,19:00,20:28,22:15
,14-Aug-16,05:00,13:30,19:00,20:26,22:15
,15-Aug-16,05:15,13:30,19:00,20:24,22:00
,16-Aug-16,05:15,13:30,19:00,20:22,22:00
,17-Aug-16,05:15,13:30,19:00,20:20,22:00
,18-Aug-16,05:15,13:30,19:00,20:18,22:00
,19-Aug-16,05:15,13:30,19:00,20:16,22:00
,20-Aug-16,05:15,13:30,19:00,20:14,22:00
,21-Aug-16,05:15,13:30,19:00,20:12,22:00
,22-Aug-16,05:30,13:30,18:45,20:09,21:45
,23-Aug-16,05:30,13:30,18:45,20:07,21:45
,24-Aug-16,05:30,13:30,18:45,20:05,21:45
,25-Aug-16,05:30,13:30,18:45,20:03,21:45
,26-Aug-16,05:30,13:30,18:45,20:01,21:45
,27-Aug-16,05:30,13:30,18:45,19:59,21:45
,28-Aug-16,05:30,13:30,18:45,19:56,21:45
,29-Aug-16,05:45,13:30,18:30,19:54,21:30
,30-Aug-16,05:45,13:30,18:30,19:52,21:30
,31-Aug-16,05:45,13:30,18:30,19:50,21:30
