Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-Dec-16,07:00,13:00,14:45,15:57,19:15
,2-Dec-16,07:00,13:00,14:45,15:56,19:15
,3-Dec-16,07:00,13:00,14:45,15:56,19:15
,4-Dec-16,07:00,13:00,14:45,15:55,19:15
,5-Dec-16,07:15,13:00,14:45,15:55,19:15
,6-Dec-16,07:15,13:00,14:45,15:54,19:15
,7-Dec-16,07:15,13:00,14:45,15:54,19:15
,8-Dec-16,07:15,13:00,14:45,15:54,19:15
,9-Dec-16,07:15,13:00,14:45,15:54,19:15
,10-Dec-16,07:15,13:00,14:45,15:54,19:15
,11-Dec-16,07:15,13:00,14:45,15:54,19:15
,12-Dec-16,07:30,13:00,14:45,15:54,19:15
,13-Dec-16,07:30,13:00,14:45,15:54,19:15
,14-Dec-16,07:30,13:00,14:45,15:54,19:15
,15-Dec-16,07:30,13:00,14:45,15:54,19:15
,16-Dec-16,07:30,13:00,14:45,15:54,19:15
,17-Dec-16,07:30,13:00,14:45,15:54,19:15
,18-Dec-16,07:30,13:00,14:45,15:55,19:15
,19-Dec-16,07:30,13:00,14:45,15:55,19:15
,20-Dec-16,07:30,13:00,14:45,15:55,19:15
,21-Dec-16,07:30,13:00,14:45,15:56,19:15
,22-Dec-16,07:30,13:00,14:45,15:57,19:15
,23-Dec-16,07:30,13:00,14:45,15:57,19:15
,24-Dec-16,07:30,13:00,14:45,15:58,19:15
,25-Dec-16,07:30,13:00,14:45,15:59,19:15
,26-Dec-16,07:30,13:00,14:45,15:59,19:15
,27-Dec-16,07:30,13:00,14:45,16:00,19:15
,28-Dec-16,07:30,13:00,14:45,16:01,19:15
,29-Dec-16,07:30,13:00,14:45,16:02,19:15
,30-Dec-16,07:30,13:00,14:45,16:03,19:15
,31-Dec-16,07:30,13:00,14:45,16:04,19:15
