Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-Jan-16,07:30,13:15,14:45,16:04,19:15
,2-Jan-16,07:30,13:00,14:45,16:05,19:15
,3-Jan-16,07:30,13:00,14:45,16:06,19:15
,4-Jan-16,07:30,13:00,14:45,16:07,19:15
,5-Jan-16,07:30,13:00,14:45,16:09,19:15
,6-Jan-16,07:30,13:00,14:45,16:10,19:15
,7-Jan-16,07:30,13:00,14:45,16:11,19:15
,8-Jan-16,07:30,13:15,14:45,16:12,19:15
,9-Jan-16,07:30,13:00,14:45,16:14,19:15
,10-Jan-16,07:15,13:00,14:45,16:15,19:15
,11-Jan-16,07:15,13:00,15:00,16:17,19:15
,12-Jan-16,07:15,13:00,15:00,16:18,19:15
,13-Jan-16,07:15,13:00,15:00,16:19,19:15
,14-Jan-16,07:15,13:00,15:00,16:21,19:15
,15-Jan-16,07:15,13:15,15:00,16:23,19:15
,16-Jan-16,07:15,13:00,15:00,16:24,19:15
,17-Jan-16,07:15,13:00,15:15,16:26,19:15
,18-Jan-16,07:15,13:00,15:15,16:27,19:15
,19-Jan-16,07:15,13:00,15:15,16:29,19:15
,20-Jan-16,07:15,13:00,15:15,16:31,19:15
,21-Jan-16,07:15,13:00,15:15,16:32,19:15
,22-Jan-16,07:15,13:15,15:15,16:34,19:15
,23-Jan-16,07:15,13:00,15:15,16:36,19:15
,24-Jan-16,07:00,13:00,15:30,16:37,19:15
,25-Jan-16,07:00,13:00,15:30,16:39,19:15
,26-Jan-16,07:00,13:00,15:30,16:41,19:15
,27-Jan-16,07:00,13:00,15:30,16:43,19:15
,28-Jan-16,07:00,13:00,15:30,16:44,19:15
,29-Jan-16,07:00,13:15,15:30,16:46,19:15
,30-Jan-16,07:00,13:00,15:30,16:48,19:15
,31-Jan-16,07:00,13:00,15:30,16:50,19:15
