Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-Jul-16,04:15,13:30,19:15,21:23,22:55
,2-Jul-16,04:15,13:30,19:15,21:22,22:55
,3-Jul-16,04:15,13:30,19:15,21:22,22:55
,4-Jul-16,04:15,13:30,19:15,21:21,22:50
,5-Jul-16,04:15,13:30,19:15,21:21,22:50
,6-Jul-16,04:15,13:30,19:15,21:20,22:50
,7-Jul-16,04:15,13:30,19:15,21:20,22:50
,8-Jul-16,04:15,13:30,19:15,21:19,22:50
,9-Jul-16,04:15,13:30,19:15,21:18,22:50
,10-Jul-16,04:15,13:30,19:15,21:17,22:50
,11-Jul-16,04:30,13:30,19:15,21:17,22:45
,12-Jul-16,04:30,13:30,19:15,21:16,22:45
,13-Jul-16,04:30,13:30,19:15,21:15,22:45
,14-Jul-16,04:30,13:30,19:15,21:14,22:45
,15-Jul-16,04:30,13:30,19:15,21:13,22:45
,16-Jul-16,04:30,13:30,19:15,21:12,22:45
,17-Jul-16,04:30,13:30,19:15,21:11,22:45
,18-Jul-16,04:30,13:30,19:15,21:10,22:45
,19-Jul-16,04:30,13:30,19:15,21:08,22:45
,20-Jul-16,04:30,13:30,19:15,21:07,22:45
,21-Jul-16,04:30,13:30,19:15,21:06,22:45
,22-Jul-16,04:30,13:30,19:15,21:05,22:45
,23-Jul-16,04:30,13:30,19:15,21:03,22:45
,24-Jul-16,04:30,13:30,19:15,21:02,22:45
,25-Jul-16,04:45,13:30,19:15,21:00,22:30
,26-Jul-16,04:45,13:30,19:15,20:59,22:30
,27-Jul-16,04:45,13:30,19:15,20:58,22:30
,28-Jul-16,04:45,13:30,19:15,20:56,22:30
,29-Jul-16,04:45,13:30,19:15,20:54,22:30
,30-Jul-16,04:45,13:30,19:15,20:53,22:30
,31-Jul-16,04:45,13:30,19:15,20:51,22:30
