Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-May-16,04:45,13:30,19:15,20:27,22:00
,2-May-16,04:45,13:30,19:15,20:29,22:15
,3-May-16,04:45,13:30,19:15,20:30,22:15
,4-May-16,04:45,13:30,19:15,20:32,22:15
,5-May-16,04:45,13:30,19:15,20:33,22:15
,6-May-16,04:45,13:30,19:15,20:35,22:15
,7-May-16,04:45,13:30,19:15,20:37,22:15
,8-May-16,04:45,13:30,19:15,20:38,22:15
,9-May-16,04:30,13:30,19:15,20:40,22:15
,10-May-16,04:30,13:30,19:15,20:41,22:15
,11-May-16,04:30,13:30,19:15,20:43,22:15
,12-May-16,04:30,13:30,19:15,20:44,22:15
,13-May-16,04:30,13:30,19:15,20:46,22:15
,14-May-16,04:30,13:30,19:15,20:47,22:15
,15-May-16,04:30,13:30,19:15,20:49,22:15
,16-May-16,04:15,13:30,19:15,20:50,22:30
,17-May-16,04:15,13:30,19:15,20:52,22:30
,18-May-16,04:15,13:30,19:15,20:53,22:30
,19-May-16,04:15,13:30,19:15,20:55,22:30
,20-May-16,04:15,13:30,19:15,20:56,22:30
,21-May-16,04:15,13:30,19:15,20:58,22:30
,22-May-16,04:15,13:30,19:15,20:59,22:30
,23-May-16,04:15,13:30,19:15,21:00,22:45
,24-May-16,04:15,13:30,19:15,21:02,22:45
,25-May-16,04:15,13:30,19:15,21:03,22:45
,26-May-16,04:15,13:30,19:15,21:04,22:45
,27-May-16,04:15,13:30,19:15,21:05,22:45
,28-May-16,04:15,13:30,19:15,21:07,22:45
,29-May-16,04:15,13:30,19:15,21:08,22:45
,30-May-16,04:15,13:30,19:15,21:09,22:45
,31-May-16,04:15,13:30,19:15,21:10,22:45
