Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-Oct-16,06:15,13:30,17:30,18:39,20:30
,2-Oct-16,06:15,13:30,17:30,18:37,20:30
,3-Oct-16,06:30,13:30,17:00,18:34,20:30
,4-Oct-16,06:30,13:30,17:00,18:32,20:15
,5-Oct-16,06:30,13:30,17:00,18:30,20:15
,6-Oct-16,06:30,13:30,17:00,18:28,20:15
,7-Oct-16,06:30,13:30,17:00,18:26,20:15
,8-Oct-16,06:30,13:30,17:00,18:23,20:15
,9-Oct-16,06:30,13:30,17:00,18:21,20:15
,10-Oct-16,06:45,13:30,16:45,18:19,20:15
,11-Oct-16,06:45,13:30,16:45,18:17,20:00
,12-Oct-16,06:45,13:30,16:45,18:15,20:00
,13-Oct-16,06:45,13:30,16:45,18:12,20:00
,14-Oct-16,06:45,13:30,16:45,18:10,20:00
,15-Oct-16,06:45,13:30,16:45,18:08,20:00
,16-Oct-16,06:45,13:30,16:45,18:06,20:00
,17-Oct-16,06:45,13:30,16:30,18:04,20:00
,18-Oct-16,06:45,13:30,16:30,18:02,19:45
,19-Oct-16,06:45,13:30,16:30,18:00,19:45
,20-Oct-16,06:45,13:30,16:30,17:58,19:45
,21-Oct-16,06:45,13:30,16:30,17:56,19:45
,22-Oct-16,06:45,13:30,16:30,17:54,19:45
,23-Oct-16,06:45,13:30,16:30,17:52,19:45
,24-Oct-16,06:45,13:30,16:15,17:50,19:30
,25-Oct-16,06:45,13:30,16:15,17:48,19:30
,26-Oct-16,06:45,13:30,16:15,17:46,19:30
,27-Oct-16,06:45,13:30,16:15,17:44,19:30
,28-Oct-16,06:45,13:30,16:15,17:42,19:30
,29-Oct-16,06:45,13:30,16:15,17:40,19:30
,30-Oct-16,06:15,13:00,15:15,16:38,19:15
,31-Oct-16,06:15,13:00,15:15,16:36,19:15
