Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,1-Sep-16,05:30,13:30,18:30,19:48,21:30
,2-Sep-16,05:30,13:30,18:30,19:45,21:30
,3-Sep-16,05:30,13:30,18:30,19:43,21:30
,4-Sep-16,05:30,13:30,18:30,19:41,21:30
,5-Sep-16,05:45,13:30,18:15,19:39,21:15
,6-Sep-16,05:45,13:30,18:15,19:36,21:15
,7-Sep-16,05:45,13:30,18:15,19:34,21:15
,8-Sep-16,05:45,13:30,18:15,19:32,21:15
,9-Sep-16,05:45,13:30,18:15,19:30,21:15
,10-Sep-16,05:45,13:30,18:15,19:27,21:15
,11-Sep-16,05:45,13:30,18:15,19:25,21:15
,12-Sep-16,06:00,13:30,18:00,19:23,21:00
,13-Sep-16,06:00,13:30,18:00,19:20,21:00
,14-Sep-16,06:00,13:30,18:00,19:18,21:00
,15-Sep-16,06:00,13:30,18:00,19:16,21:00
,16-Sep-16,06:00,13:30,18:00,19:13,21:00
,17-Sep-16,06:00,13:30,18:00,19:11,21:00
,18-Sep-16,06:00,13:30,18:00,19:09,21:00
,19-Sep-16,06:00,13:30,17:45,19:07,20:45
,20-Sep-16,06:00,13:30,17:45,19:04,20:45
,21-Sep-16,06:00,13:30,17:45,19:02,20:45
,22-Sep-16,06:00,13:30,17:45,19:00,20:45
,23-Sep-16,06:00,13:30,17:45,18:57,20:45
,24-Sep-16,06:00,13:30,17:45,18:55,20:45
,25-Sep-16,06:00,13:30,17:45,18:53,20:45
,26-Sep-16,06:15,13:30,17:30,18:50,20:30
,27-Sep-16,06:15,13:30,17:30,18:48,20:30
,28-Sep-16,06:15,13:30,17:30,18:46,20:30
,29-Sep-16,06:15,13:30,17:30,18:44,20:30
,30-Sep-16,06:15,13:30,17:30,18:41,20:30
