Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:17,13:30,18:00,19:51,21:30
,02-Apr-23,05:15,13:30,18:00,19:53,21:30
,03-Apr-23,05:12,13:30,18:00,19:55,21:30
,04-Apr-23,05:10,13:30,18:00,19:56,21:30
,05-Apr-23,05:08,13:30,18:00,19:58,21:30
,06-Apr-23,05:06,13:30,18:00,20:00,21:30
,07-Apr-23,05:03,13:30,18:00,20:01,21:30
,08-Apr-23,05:01,13:30,18:00,20:03,21:30
,09-Apr-23,04:59,13:30,18:00,20:05,21:30
,10-Apr-23,04:57,13:30,18:00,20:06,21:30
,11-Apr-23,04:54,13:30,18:00,20:08,21:30
,12-Apr-23,04:52,13:30,18:00,20:10,21:30
,13-Apr-23,04:50,13:30,18:00,20:11,21:30
,14-Apr-23,04:48,13:30,18:00,20:13,21:30
,15-Apr-23,04:46,13:30,18:15,20:15,21:45
,16-Apr-23,04:44,13:30,18:15,20:17,21:45
,17-Apr-23,04:41,13:30,18:15,20:18,21:45
,18-Apr-23,04:38,13:30,18:15,20:20,21:45
,19-Apr-23,04:36,13:30,18:15,20:22,21:45
,20-Apr-23,04:34,13:30,18:15,20:23,21:45
,21-Apr-23,04:45,13:30,18:15,20:15,21:45
,22-Apr-23,04:45,13:30,18:15,20:17,22:00
,23-Apr-23,04:45,13:30,18:15,20:18,22:00
,24-Apr-23,04:45,13:30,18:15,20:20,22:00
,25-Apr-23,04:45,13:30,18:15,20:22,22:00
,26-Apr-23,04:45,13:30,18:15,20:23,22:00
,27-Apr-23,04:45,13:30,18:15,20:25,22:00
,28-Apr-23,04:45,13:30,18:15,20:27,22:00
,29-Apr-23,04:45,13:30,19:15,20:28,22:00
,30-Apr-23,04:45,13:30,19:15,20:30,22:00
