Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,06:00,13:00,16:15,17:49,19:30
,02-Mar-23,06:00,13:00,16:15,17:51,19:30
,03-Mar-23,06:00,12:30,16:15,17:52,19:30
,04-Mar-23,05:45,13:00,16:15,17:54,19:30
,05-Mar-23,05:45,13:00,16:15,17:56,19:30
,06-Mar-23,05:45,13:00,16:15,17:58,19:30
,07-Mar-23,05:45,13:00,16:15,17:59,19:30
,08-Mar-23,05:45,13:00,16:15,18:01,19:30
,09-Mar-23,05:45,13:00,16:15,18:03,19:30
,10-Mar-23,05:45,12:30,16:15,18:05,19:30
,11-Mar-23,05:30,13:00,16:30,18:06,19:45
,12-Mar-23,05:30,13:00,16:30,18:08,19:45
,13-Mar-23,05:30,13:00,16:30,18:10,19:45
,14-Mar-23,05:30,13:00,16:30,18:11,19:45
,15-Mar-23,05:30,13:00,16:30,18:13,19:45
,16-Mar-23,05:30,13:00,16:30,18:15,19:45
,17-Mar-23,05:30,12:30,16:30,18:17,19:45
,18-Mar-23,05:15,13:00,16:45,18:18,20:00
,19-Mar-23,05:15,13:00,16:45,18:20,20:00
,20-Mar-23,05:15,13:00,16:45,18:22,20:00
,21-Mar-23,05:15,13:00,16:45,18:22,20:00
,22-Mar-23,05:15,13:00,16:45,18:25,20:00
,23-Mar-23,04:34,13:00,16:45,18:36,20:15
,24-Mar-23,04:32,12:30,16:45,18:38,20:15
,25-Mar-23,04:30,13:00,16:45,18:40,20:15
,26-Mar-23,05:28,13:30,18:00,19:41,21:15
,27-Mar-23,05:26,13:30,18:00,19:43,21:15
,28-Mar-23,05:25,13:30,18:00,19:45,21:15
,29-Mar-23,05:23,13:30,18:00,19:46,21:15
,30-Mar-23,05:20,13:30,18:00,19:48,21:15
,31-Mar-23,05:19,13:30,18:00,19:50,21:15
