Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,05:45,13:30,18:00,19:42,21:15
,02-Apr-22,05:18,13:30,18:15,19:44,21:30
,03-Apr-22,05:16,13:30,18:15,19:45,21:30
,04-Apr-22,05:14,13:30,18:15,19:47,21:30
,05-Apr-22,05:12,13:30,18:15,19:49,21:30
,06-Apr-22,05:09,13:30,18:15,19:50,21:30
,07-Apr-22,05:07,13:30,18:15,19:51,21:30
,08-Apr-22,05:05,13:30,18:15,19:54,21:30
,09-Apr-22,05:03,13:30,18:30,19:55,21:45
,10-Apr-22,05:00,13:30,18:30,19:57,21:45
,11-Apr-22,04:58,13:30,18:30,19:59,21:45
,12-Apr-22,04:56,13:30,18:30,20:01,21:45
,13-Apr-22,04:54,13:30,18:30,20:02,21:45
,14-Apr-22,04:52,13:30,18:30,20:04,21:45
,15-Apr-22,04:50,13:30,18:30,20:06,21:45
,16-Apr-22,04:47,13:30,18:30,20:07,21:45
,17-Apr-22,04:45,13:30,18:30,20:09,21:45
,18-Apr-22,04:22,13:30,18:30,20:11,21:45
,19-Apr-22,04:40,13:30,18:30,20:12,21:45
,20-Apr-22,04:38,13:30,18:30,20:14,21:45
,21-Apr-22,04:35,13:30,18:30,20:16,21:45
,22-Apr-22,04:33,13:30,18:30,20:17,21:45
,23-Apr-22,04:31,13:30,18:30,20:19,22:00
,24-Apr-22,04:28,13:30,18:30,20:21,22:00
,25-Apr-22,04:26,13:30,18:30,20:22,22:00
,26-Apr-22,04:24,13:30,18:30,20:24,22:00
,27-Apr-22,04:21,13:30,18:30,20:26,22:00
,28-Apr-22,04:19,13:30,18:30,20:27,22:00
,29-Apr-22,04:17,13:30,18:30,20:29,22:00
,30-Apr-22,04:14,13:30,18:30,20:30,22:00
