Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,05:30,13:00,16:15,17:49,19:30
,02-Mar-23,05:30,13:00,16:15,17:50,19:30
,03-Mar-23,05:30,13:00,16:15,17:53,19:30
,04-Mar-23,05:15,13:00,16:15,17:54,19:45
,05-Mar-23,05:15,13:00,16:15,17:56,19:45
,06-Mar-23,05:15,13:00,16:15,17:58,19:45
,07-Mar-23,05:15,13:00,16:15,18:00,19:45
,08-Mar-23,05:15,13:00,16:15,18:01,19:45
,09-Mar-23,05:15,13:00,16:15,18:03,19:45
,10-Mar-23,05:15,13:00,16:15,18:05,19:45
,11-Mar-23,05:00,13:00,16:30,18:06,20:00
,12-Mar-23,05:00,13:00,16:30,18:08,20:00
,13-Mar-23,05:00,13:00,16:30,18:10,20:00
,14-Mar-23,05:00,13:00,16:30,18:12,20:00
,15-Mar-23,05:00,13:00,16:30,18:13,20:00
,16-Mar-23,05:00,13:00,16:30,18:15,20:00
,17-Mar-23,05:00,13:00,16:30,18:17,20:00
,18-Mar-23,05:00,13:00,16:45,18:19,20:15
,19-Mar-23,05:00,13:00,16:45,18:20,20:15
,20-Mar-23,05:00,13:00,16:45,18:22,20:15
,21-Mar-23,05:00,13:00,16:45,18:24,20:15
,22-Mar-23,05:00,13:00,16:45,18:25,20:15
,23-Mar-23,04:38,13:00,16:45,18:27,20:15
,24-Mar-23,04:36,13:00,16:45,18:29,20:15
,25-Mar-23,04:34,13:00,16:45,18:30,20:15
,26-Mar-23,05:32,13:30,18:00,19:32,21:15
,27-Mar-23,05:30,13:30,18:00,19:34,21:15
,28-Mar-23,05:29,13:30,18:00,19:35,21:15
,29-Mar-23,05:26,13:30,18:00,19:37,21:15
,30-Mar-23,05:24,13:30,18:00,19:39,21:15
,31-Mar-23,05:23,13:30,18:00,19:40,21:15
