Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-22,05:45,13:00,16:30,17:49,20:00
,02-Mar-22,05:45,13:00,16:30,17:51,20:00
,03-Mar-22,05:45,13:00,16:30,17:52,20:00
,04-Mar-22,05:45,13:00,16:30,17:54,20:00
,05-Mar-22,05:45,13:00,16:30,17:56,20:00
,06-Mar-22,05:45,13:00,16:30,17:58,20:00
,07-Mar-22,05:15,13:00,16:30,17:59,20:00
,08-Mar-22,05:15,13:00,16:30,18:01,20:00
,09-Mar-22,05:15,13:00,16:30,18:03,20:00
,10-Mar-22,05:15,13:00,16:30,18:05,20:00
,11-Mar-22,05:15,13:00,16:30,18:06,20:00
,12-Mar-22,05:15,13:00,16:30,18:08,20:00
,13-Mar-22,05:15,13:00,16:30,18:10,20:00
,14-Mar-22,05:15,13:00,16:45,18:11,20:00
,15-Mar-22,05:15,13:00,16:45,18:13,20:00
,16-Mar-22,05:15,13:00,16:45,18:15,20:00
,17-Mar-22,05:15,13:00,16:45,18:17,20:00
,18-Mar-22,05:15,13:00,16:45,18:18,20:00
,19-Mar-22,05:15,13:00,16:45,18:20,20:00
,20-Mar-22,05:15,13:00,16:45,18:22,20:00
,21-Mar-22,04:45,13:00,16:45,18:23,20:30
,22-Mar-22,04:45,13:00,16:45,18:25,20:30
,23-Mar-22,04:45,13:00,16:45,18:27,20:30
,24-Mar-22,04:45,13:00,16:45,18:28,20:30
,25-Mar-22,04:45,13:00,16:45,18:30,20:30
,26-Mar-22,04:45,13:00,16:45,18:32,20:30
,27-Mar-22,05:45,13:30,17:45,19:33,21:30
,28-Mar-22,05:45,13:30,18:00,19:35,21:30
,29-Mar-22,05:45,13:30,18:00,19:37,21:30
,30-Mar-22,05:45,13:30,18:00,19:38,21:30
,31-Mar-22,05:45,13:30,18:00,19:40,21:30
