Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,05:45,13:30,18:00,19:42,21:15
,02-Apr-22,05:13,13:30,18:00,19:49,21:15
,03-Apr-22,05:10,13:30,18:00,19:50,21:15
,04-Apr-22,05:08,13:30,18:00,19:52,21:15
,05-Apr-22,05:05,13:30,18:00,19:54,21:15
,06-Apr-22,05:03,13:30,18:00,19:55,21:15
,07-Apr-22,05:00,13:30,18:00,19:57,21:15
,08-Apr-22,04:58,13:30,18:00,19:59,21:15
,09-Apr-22,04:55,13:30,18:00,20:00,21:15
,10-Apr-22,04:53,13:30,18:00,20:02,21:30
,11-Apr-22,04:50,13:30,18:15,20:04,21:30
,12-Apr-22,04:48,13:30,18:15,20:05,21:30
,13-Apr-22,04:45,13:30,18:15,20:07,21:30
,14-Apr-22,04:43,13:30,18:15,20:09,21:30
,15-Apr-22,04:41,13:30,18:15,20:10,21:30
,16-Apr-22,04:38,13:30,18:15,20:12,21:30
,17-Apr-22,04:36,13:30,18:15,20:14,21:45
,18-Apr-22,04:33,13:30,18:15,20:15,21:45
,19-Apr-22,04:31,13:30,18:15,20:17,21:45
,20-Apr-22,04:29,13:30,18:15,20:19,21:45
,21-Apr-22,04:26,13:30,18:15,20:20,21:45
,22-Apr-22,04:24,13:30,18:15,20:22,21:45
,23-Apr-22,04:22,13:30,18:15,20:24,21:45
,24-Apr-22,04:19,13:30,18:30,20:25,22:00
,25-Apr-22,04:17,13:30,18:30,20:27,22:00
,26-Apr-22,04:15,13:30,18:30,20:29,22:00
,27-Apr-22,04:13,13:30,18:30,20:30,22:00
,28-Apr-22,04:10,13:30,18:30,20:32,22:00
,29-Apr-22,04:08,13:30,18:30,20:34,22:00
,30-Apr-22,04:06,13:30,18:30,20:35,22:00
