Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-23,04:00,13:30,19:15,21:16,22:50
,02-Jun-23,04:00,13:30,19:15,21:17,22:50
,03-Jun-23,04:00,13:30,19:15,21:18,22:50
,04-Jun-23,04:00,13:30,19:15,21:19,22:50
,05-Jun-23,04:00,13:30,19:15,21:20,22:50
,06-Jun-23,04:00,13:30,19:15,21:21,22:50
,07-Jun-23,04:00,13:30,19:15,21:22,22:50
,08-Jun-23,04:00,13:30,19:15,21:23,22:50
,09-Jun-23,04:00,13:30,19:15,21:24,22:50
,10-Jun-23,04:00,13:30,19:15,21:25,22:50
,11-Jun-23,04:00,13:30,19:15,21:25,22:50
,12-Jun-23,04:00,13:30,19:15,21:26,22:50
,13-Jun-23,04:00,13:30,19:15,21:26,22:50
,14-Jun-23,04:00,13:30,19:15,21:27,22:50
,15-Jun-23,04:00,13:30,19:15,21:28,22:50
,16-Jun-23,04:00,13:30,19:15,21:28,22:50
,17-Jun-23,04:00,13:30,19:15,21:28,22:50
,18-Jun-23,04:00,13:30,19:15,21:29,22:50
,19-Jun-23,04:00,13:30,19:15,21:29,22:50
,20-Jun-23,04:00,13:30,19:15,21:29,22:50
,21-Jun-23,04:00,13:30,19:15,21:30,23:00
,22-Jun-23,04:00,13:30,19:15,21:30,23:00
,23-Jun-23,04:00,13:30,19:15,21:30,23:00
,24-Jun-23,04:00,13:30,19:15,21:30,23:00
,25-Jun-23,04:00,13:30,19:15,21:30,23:00
,26-Jun-23,04:00,13:30,19:15,21:30,23:00
,27-Jun-23,04:00,13:30,19:15,21:30,23:00
,28-Jun-23,04:00,13:30,19:15,21:30,23:00
,29-Jun-23,04:00,13:30,19:15,21:29,23:00
,30-Jun-23,04:00,13:30,19:15,21:29,23:00
