Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-22,05:30,13:30,18:00,19:55,21:15
,02-Sep-22,05:30,13:30,18:00,19:52,21:15
,03-Sep-22,05:30,13:30,18:00,19:50,21:15
,04-Sep-22,05:30,13:30,18:00,19:48,21:15
,05-Sep-22,05:30,13:30,18:00,19:46,21:15
,06-Sep-22,05:30,13:30,18:00,19:43,21:15
,07-Sep-22,05:30,13:30,18:00,19:41,21:15
,08-Sep-22,05:30,13:30,18:00,19:39,21:15
,09-Sep-22,05:30,13:30,18:00,19:37,21:15
,10-Sep-22,05:30,13:30,18:00,19:34,21:15
,11-Sep-22,05:45,13:30,17:45,19:32,21:00
,12-Sep-22,05:45,13:30,17:45,19:30,21:00
,13-Sep-22,05:45,13:30,17:45,19:27,21:00
,14-Sep-22,05:45,13:30,17:45,19:25,21:00
,15-Sep-22,05:45,13:30,17:45,19:23,21:00
,16-Sep-22,05:45,13:30,17:45,19:20,21:00
,17-Sep-22,05:45,13:30,17:45,19:18,21:00
,18-Sep-22,05:45,13:30,17:30,19:16,21:00
,19-Sep-22,05:45,13:30,17:30,19:14,21:00
,20-Sep-22,05:45,13:30,17:30,19:11,21:00
,21-Sep-22,06:00,13:30,17:30,19:09,20:30
,22-Sep-22,06:00,13:30,17:30,19:07,20:30
,23-Sep-22,06:00,13:30,17:30,19:04,20:30
,24-Sep-22,06:00,13:30,17:30,19:02,20:30
,25-Sep-22,06:00,13:30,17:15,19:00,20:30
,26-Sep-22,06:00,13:30,17:15,18:57,20:30
,27-Sep-22,06:00,13:30,17:15,18:55,20:30
,28-Sep-22,06:00,13:30,17:15,18:53,20:30
,29-Sep-22,06:00,13:30,17:15,18:51,20:30
,30-Sep-22,06:00,13:30,17:15,18:48,20:30
