Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,05:19,13:30,18:15,19:42,21:30
,02-Apr-22,05:19,13:30,18:15,19:50,21:30
,03-Apr-22,05:17,13:30,18:15,19:52,21:30
,04-Apr-22,05:15,13:30,18:15,19:54,21:30
,05-Apr-22,05:12,13:30,18:15,19:56,21:30
,06-Apr-22,05:10,13:30,18:15,19:57,21:30
,07-Apr-22,05:08,13:30,18:15,19:59,21:30
,08-Apr-22,05:06,13:30,18:15,20:01,21:30
,09-Apr-22,05:03,13:30,18:15,20:02,21:30
,10-Apr-22,05:01,13:30,18:15,20:04,21:30
,11-Apr-22,04:59,13:30,18:15,20:06,21:30
,12-Apr-22,04:57,13:30,18:15,20:07,21:30
,13-Apr-22,04:55,13:30,18:15,20:09,21:45
,14-Apr-22,04:52,13:30,18:15,20:11,21:45
,15-Apr-22,04:50,13:30,18:30,20:12,21:45
,16-Apr-22,04:48,13:30,18:30,20:14,21:45
,17-Apr-22,04:46,13:30,18:30,20:16,21:45
,18-Apr-22,04:43,13:30,18:30,20:17,21:45
,19-Apr-22,04:41,13:30,18:30,20:19,21:45
,20-Apr-22,04:39,13:30,18:30,20:21,21:45
,21-Apr-22,04:36,13:30,18:30,20:22,21:45
,22-Apr-22,04:34,13:30,18:30,20:24,21:45
,23-Apr-22,04:31,13:30,18:30,20:26,22:00
,24-Apr-22,04:28,13:30,18:30,20:27,22:00
,25-Apr-22,04:26,13:30,18:30,20:29,22:00
,26-Apr-22,04:24,13:30,18:30,20:31,22:00
,27-Apr-22,04:21,13:30,18:30,20:32,22:00
,28-Apr-22,04:20,13:30,18:30,20:34,22:00
,29-Apr-22,04:18,13:30,18:30,20:36,22:00
,30-Apr-22,04:15,13:30,18:30,20:37,22:00
