Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-22,04:30,13:30,19:15,20:57,22:15
,02-Aug-22,04:30,13:30,19:15,20:55,22:15
,03-Aug-22,04:30,13:30,19:15,20:53,22:15
,04-Aug-22,04:30,13:30,19:15,20:52,22:15
,05-Aug-22,04:45,13:30,18:45,20:50,22:15
,06-Aug-22,04:45,13:30,18:45,20:48,22:15
,07-Aug-22,04:45,13:30,18:45,20:46,22:15
,08-Aug-22,04:45,13:30,18:45,20:45,22:15
,09-Aug-22,04:45,13:30,18:45,20:43,22:15
,10-Aug-22,04:45,13:30,18:45,20:41,22:15
,11-Aug-22,04:45,13:30,18:45,20:39,22:15
,12-Aug-22,05:00,13:30,18:30,20:37,22:00
,13-Aug-22,05:00,13:30,18:30,20:35,22:00
,14-Aug-22,05:00,13:30,18:30,20:33,22:00
,15-Aug-22,05:00,13:30,18:30,20:31,22:00
,16-Aug-22,05:00,13:30,18:30,20:29,22:00
,17-Aug-22,05:00,13:30,18:30,20:27,22:00
,18-Aug-22,05:00,13:30,18:30,20:25,22:00
,19-Aug-22,05:15,13:30,18:30,20:23,21:45
,20-Aug-22,05:15,13:30,18:30,20:21,21:45
,21-Aug-22,05:15,13:30,18:30,20:19,21:45
,22-Aug-22,05:15,13:30,18:30,20:17,21:45
,23-Aug-22,05:15,13:30,18:30,20:15,21:45
,24-Aug-22,05:15,13:30,18:30,20:13,21:45
,25-Aug-22,05:15,13:30,18:30,20:11,21:45
,26-Aug-22,05:15,13:30,18:15,20:08,21:30
,27-Aug-22,05:15,13:30,18:15,20:06,21:30
,28-Aug-22,05:15,13:30,18:15,20:04,21:30
,29-Aug-22,05:15,13:30,18:15,20:02,21:30
,30-Aug-22,05:15,13:30,18:15,20:00,21:30
,31-Aug-22,05:15,13:30,18:15,19:57,21:30
