Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-22,04:45,13:30,19:00,20:55,22:15
,02-Aug-22,04:45,13:30,19:00,20:54,22:15
,03-Aug-22,04:45,13:30,19:00,20:52,22:15
,04-Aug-22,04:45,13:30,19:00,20:50,22:15
,05-Aug-22,04:45,13:30,19:00,20:49,22:15
,06-Aug-22,04:45,13:30,19:00,20:47,22:15
,07-Aug-22,04:45,13:30,19:00,20:45,22:15
,08-Aug-22,04:45,13:30,19:00,20:43,22:15
,09-Aug-22,04:45,13:30,19:00,20:41,22:15
,10-Aug-22,05:00,13:30,18:45,20:40,22:00
,11-Aug-22,05:00,13:30,18:45,20:38,22:00
,12-Aug-22,05:00,13:30,18:45,20:36,22:00
,13-Aug-22,05:00,13:30,18:45,20:34,22:00
,14-Aug-22,05:00,13:30,18:45,20:32,22:00
,15-Aug-22,05:00,13:30,18:45,20:30,22:00
,16-Aug-22,05:00,13:30,18:45,20:28,22:00
,17-Aug-22,05:00,13:30,18:45,20:26,21:45
,18-Aug-22,05:00,13:30,18:45,20:24,21:45
,19-Aug-22,05:00,13:30,18:45,20:22,21:45
,20-Aug-22,05:00,13:30,18:45,20:20,21:45
,21-Aug-22,05:15,13:30,18:30,20:18,21:45
,22-Aug-22,05:15,13:30,18:30,20:16,21:45
,23-Aug-22,05:15,13:30,18:30,20:14,21:45
,24-Aug-22,05:15,13:30,18:30,20:11,21:45
,25-Aug-22,05:15,13:30,18:30,20:09,21:45
,26-Aug-22,05:15,13:30,18:30,20:07,21:45
,27-Aug-22,05:30,13:30,18:15,20:05,21:30
,28-Aug-22,05:30,13:30,18:15,20:03,21:30
,29-Aug-22,05:30,13:30,18:15,20:01,21:30
,30-Aug-22,05:30,13:30,18:15,19:58,21:30
,31-Aug-22,05:30,13:30,18:15,19:56,21:30
