Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-22,07:00,13:00,14:45,16:08,19:00
,02-Jan-22,07:00,13:00,14:45,16:09,19:00
,03-Jan-22,07:00,13:00,14:45,16:10,19:00
,04-Jan-22,07:00,13:00,14:45,16:11,19:00
,05-Jan-22,07:00,13:00,14:45,16:13,19:00
,06-Jan-22,07:00,13:00,14:45,16:14,19:00
,07-Jan-22,07:00,13:10,14:45,16:15,19:00
,08-Jan-22,07:00,13:00,14:45,16:16,19:00
,09-Jan-22,07:00,13:00,14:45,16:18,19:00
,10-Jan-22,07:00,13:00,14:45,16:19,19:00
,11-Jan-22,07:00,13:00,15:00,16:20,19:00
,12-Jan-22,07:00,13:00,15:00,16:22,19:00
,13-Jan-22,07:00,13:00,15:00,16:23,19:00
,14-Jan-22,07:00,13:10,15:00,16:25,19:00
,15-Jan-22,07:00,13:00,15:00,16:26,19:00
,16-Jan-22,07:00,13:00,15:00,16:28,19:00
,17-Jan-22,07:00,13:00,15:00,16:30,19:00
,18-Jan-22,07:00,13:00,15:00,16:31,19:00
,19-Jan-22,07:00,13:00,15:00,16:33,19:00
,20-Jan-22,07:00,13:00,15:00,16:34,19:00
,21-Jan-22,07:00,13:10,15:15,16:36,19:00
,22-Jan-22,07:00,13:00,15:15,16:38,19:00
,23-Jan-22,07:00,13:00,15:15,16:40,19:00
,24-Jan-22,07:00,13:00,15:15,16:41,19:00
,25-Jan-22,07:00,13:00,15:15,16:43,19:00
,26-Jan-22,07:00,13:00,15:15,16:45,19:00
,27-Jan-22,07:00,13:00,15:15,16:47,19:00
,28-Jan-22,07:00,13:10,15:15,16:48,19:00
,29-Jan-22,07:00,13:00,15:15,16:50,19:00
,30-Jan-22,07:00,13:00,15:15,16:52,19:00
,31-Jan-22,07:00,13:00,15:15,16:54,19:00
