Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-22,04:45,13:30,19:00,20:29,22:00
,02-May-22,04:45,13:30,19:00,20:31,22:00
,03-May-22,04:45,13:30,19:00,20:33,22:00
,04-May-22,04:45,13:30,19:00,20:34,22:00
,05-May-22,04:45,13:30,19:00,20:36,22:00
,06-May-22,04:30,13:30,19:00,20:37,22:15
,07-May-22,04:30,13:30,19:00,20:39,22:15
,08-May-22,04:30,13:30,19:00,20:41,22:15
,09-May-22,04:30,13:30,19:00,20:42,22:15
,10-May-22,04:30,13:30,19:00,20:44,22:15
,11-May-22,04:30,13:30,19:00,20:45,22:15
,12-May-22,04:30,13:30,19:00,20:47,22:15
,13-May-22,04:30,13:30,19:00,20:48,22:15
,14-May-22,04:30,13:30,19:00,20:50,22:15
,15-May-22,04:30,13:30,19:00,20:51,22:15
,16-May-22,04:15,13:30,19:00,20:53,22:30
,17-May-22,04:15,13:30,19:00,20:54,22:30
,18-May-22,04:15,13:30,19:00,20:56,22:30
,19-May-22,04:15,13:30,19:00,20:57,22:30
,20-May-22,04:15,13:30,19:00,20:59,22:30
,21-May-22,04:15,13:30,19:00,21:00,22:30
,22-May-22,04:15,13:30,19:00,21:02,22:30
,23-May-22,04:15,13:30,19:00,21:03,22:30
,24-May-22,04:15,13:30,19:00,21:04,22:30
,25-May-22,04:15,13:30,19:00,21:06,22:30
,26-May-22,04:00,13:30,19:00,21:07,22:45
,27-May-22,04:00,13:30,19:00,21:08,22:45
,28-May-22,04:00,13:30,19:00,21:09,22:45
,29-May-22,04:00,13:30,19:00,21:11,22:45
,30-May-22,04:00,13:30,19:00,21:12,22:45
,31-May-22,04:00,13:30,19:00,21:13,22:45
