Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-23,07:00,13:00,14:50,16:01,19:45
,02-Dec-23,07:00,13:00,14:50,16:01,18:30
,03-Dec-23,07:00,13:00,14:50,16:00,18:30
,04-Dec-23,07:00,13:00,14:50,16:00,19:45
,05-Dec-23,07:00,13:00,14:50,15:59,19:45
,06-Dec-23,07:00,13:00,14:50,15:59,19:45
,07-Dec-23,07:00,13:00,14:50,15:58,19:45
,08-Dec-23,07:00,13:00,14:50,15:58,19:45
,09-Dec-23,07:00,13:00,14:50,15:58,18:30
,10-Dec-23,07:00,13:00,14:50,15:58,18:30
,11-Dec-23,07:00,13:00,14:50,15:58,19:45
,12-Dec-23,07:00,13:00,14:50,15:58,19:45
,13-Dec-23,07:00,13:00,14:50,15:58,19:45
,14-Dec-23,07:00,13:00,14:50,15:58,19:45
,15-Dec-23,07:00,13:00,14:50,15:58,19:45
,16-Dec-23,07:00,13:00,14:50,15:58,18:30
,17-Dec-23,07:00,13:00,14:50,15:58,18:30
,18-Dec-23,07:00,13:00,14:50,15:58,19:45
,19-Dec-23,07:00,13:00,14:50,15:59,19:45
,20-Dec-23,07:00,13:00,14:50,15:59,19:45
,21-Dec-23,07:00,13:00,14:50,15:59,19:45
,22-Dec-23,07:00,13:00,14:50,16:00,19:45
,23-Dec-23,07:00,13:00,14:50,16:01,18:30
,24-Dec-23,07:00,13:00,14:50,16:01,18:30
,25-Dec-23,07:00,13:00,14:50,16:02,19:45
,26-Dec-23,07:00,13:00,14:50,16:03,19:45
,27-Dec-23,07:00,13:00,14:50,16:03,19:45
,28-Dec-23,07:00,13:00,15:00,16:04,19:45
,29-Dec-23,07:00,13:00,15:00,16:05,19:45
,30-Dec-23,07:00,13:00,15:00,16:06,18:30
,31-Dec-23,07:00,13:00,15:00,16:07,18:30
