Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-22,04:13,13:30,19:00,20:38,22:00
,02-May-22,04:50,13:30,19:00,20:31,22:00
,03-May-22,04:50,13:30,19:00,20:32,22:15
,04-May-22,04:50,13:30,19:00,20:34,22:15
,05-May-22,04:50,13:30,19:00,20:36,22:15
,06-May-22,04:40,13:30,19:15,20:37,22:15
,07-May-22,04:40,13:30,19:15,20:39,22:15
,08-May-22,04:40,13:30,19:15,20:41,22:15
,09-May-22,04:40,13:30,19:15,20:42,22:15
,10-May-22,04:40,13:30,19:15,20:44,22:15
,11-May-22,04:40,13:30,19:15,20:45,22:15
,12-May-22,04:30,13:30,19:30,20:47,22:30
,13-May-22,04:30,13:30,19:30,20:48,22:30
,14-May-22,04:30,13:30,19:30,20:50,22:30
,15-May-22,04:30,13:30,19:30,20:51,22:30
,16-May-22,04:30,13:30,19:30,20:53,22:30
,17-May-22,04:30,13:30,19:30,20:54,22:30
,18-May-22,04:20,13:30,19:45,20:56,22:30
,19-May-22,04:20,13:30,19:45,20:57,22:30
,20-May-22,04:20,13:30,19:45,20:59,22:30
,21-May-22,04:20,13:30,19:45,21:00,22:30
,22-May-22,04:20,13:30,19:45,21:01,22:30
,23-May-22,04:20,13:30,19:45,21:03,22:45
,24-May-22,04:20,13:30,19:45,21:04,22:45
,25-May-22,04:20,13:30,19:45,21:05,22:45
,26-May-22,04:10,13:30,19:45,21:07,22:45
,27-May-22,04:10,13:30,19:45,21:08,22:45
,28-May-22,04:10,13:30,19:45,21:09,22:45
,29-May-22,04:10,13:30,19:45,21:10,22:45
,30-May-22,04:10,13:30,19:45,21:11,22:45
,31-May-22,04:10,13:30,19:45,21:13,22:45
