Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-23,04:43,13:30,18:45,21:00,22:30
,02-Aug-23,04:45,13:30,18:45,20:59,22:30
,03-Aug-23,04:46,13:30,18:45,20:57,22:30
,04-Aug-23,04:48,13:30,18:45,20:55,22:30
,05-Aug-23,04:49,13:30,18:45,20:54,22:30
,06-Aug-23,04:51,13:30,18:30,20:52,22:15
,07-Aug-23,04:52,13:30,18:30,20:50,22:15
,08-Aug-23,04:54,13:30,18:30,20:48,22:15
,09-Aug-23,04:56,13:30,18:30,20:47,22:15
,10-Aug-23,04:57,13:30,18:30,20:45,22:15
,11-Aug-23,04:59,13:30,18:30,20:43,22:15
,12-Aug-23,05:00,13:30,18:30,20:41,22:15
,13-Aug-23,05:02,13:30,18:30,20:39,22:15
,14-Aug-23,05:03,13:30,18:30,20:37,22:15
,15-Aug-23,05:05,13:30,18:30,20:35,22:15
,16-Aug-23,05:07,13:30,18:30,20:33,22:15
,17-Aug-23,05:08,13:30,18:30,20:31,22:15
,18-Aug-23,05:10,13:30,18:30,20:29,22:15
,19-Aug-23,05:11,13:30,18:30,20:27,22:15
,20-Aug-23,05:13,13:30,18:15,20:25,22:00
,21-Aug-23,05:15,13:30,18:15,20:23,22:00
,22-Aug-23,05:16,13:30,18:15,20:21,22:00
,23-Aug-23,05:18,13:30,18:15,20:19,22:00
,24-Aug-23,05:19,13:30,18:15,20:17,22:00
,25-Aug-23,05:21,13:30,18:15,20:15,22:00
,26-Aug-23,05:23,13:30,18:15,20:12,22:00
,27-Aug-23,05:24,13:30,18:15,20:10,21:45
,28-Aug-23,05:26,13:30,18:15,20:08,21:45
,29-Aug-23,05:27,13:30,18:15,20:06,21:45
,30-Aug-23,05:29,13:30,18:15,20:04,21:45
,31-Aug-23,05:30,13:30,18:15,20:02,21:45
