Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-23,07:26,13:00,14:45,16:11,19:30
,02-Jan-23,07:26,13:00,14:45,16:12,19:30
,03-Jan-23,07:26,13:00,14:45,16:13,19:30
,04-Jan-23,07:26,13:00,14:45,16:14,19:30
,05-Jan-23,07:25,13:00,14:45,16:16,19:30
,06-Jan-23,07:25,12:30,14:45,16:17,19:30
,07-Jan-23,07:25,13:00,14:45,16:18,19:30
,08-Jan-23,07:24,13:00,15:00,16:19,19:30
,09-Jan-23,07:24,13:00,15:00,16:21,19:30
,10-Jan-23,07:23,13:00,15:00,16:22,19:30
,11-Jan-23,07:23,13:00,15:00,16:23,19:30
,12-Jan-23,07:22,13:00,15:00,16:25,19:30
,13-Jan-23,07:21,12:30,15:00,16:26,19:30
,14-Jan-23,07:21,13:00,15:00,16:28,19:30
,15-Jan-23,07:20,13:00,15:00,16:29,19:30
,16-Jan-23,07:19,13:00,15:00,16:31,19:30
,17-Jan-23,07:18,13:00,15:00,16:32,19:30
,18-Jan-23,07:17,13:00,15:00,16:34,19:30
,19-Jan-23,07:16,13:00,15:00,16:36,19:30
,20-Jan-23,07:15,13:00,15:00,16:37,19:30
,21-Jan-23,07:14,13:00,15:00,16:39,19:30
,22-Jan-23,07:13,13:00,15:15,16:41,19:30
,23-Jan-23,07:12,13:00,15:15,16:42,19:30
,24-Jan-23,07:11,13:00,15:15,16:44,19:30
,25-Jan-23,07:09,13:00,15:15,16:46,19:30
,26-Jan-23,07:08,13:00,15:15,16:48,19:30
,27-Jan-23,07:07,13:00,15:15,16:49,19:30
,28-Jan-23,07:06,13:00,15:15,16:51,19:30
,29-Jan-23,07:04,13:00,15:30,16:52,19:30
,30-Jan-23,07:03,13:00,15:30,16:55,19:30
,31-Jan-23,07:01,13:00,15:30,16:56,19:30
