Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-23,04:07,13:30,19:15,21:31,22:50
,02-Jul-23,04:08,13:30,19:15,21:31,22:50
,03-Jul-23,04:08,13:30,19:15,21:31,22:50
,04-Jul-23,04:09,13:30,19:15,21:30,22:50
,05-Jul-23,04:10,13:30,19:15,21:30,22:50
,06-Jul-23,04:11,13:30,19:15,21:29,22:50
,07-Jul-23,04:12,13:30,19:15,21:29,22:50
,08-Jul-23,04:13,13:30,19:15,21:28,22:50
,09-Jul-23,04:14,13:30,19:15,21:27,22:45
,10-Jul-23,04:15,13:30,19:15,21:27,22:45
,11-Jul-23,04:16,13:30,19:15,21:26,22:45
,12-Jul-23,04:17,13:30,19:15,21:25,22:45
,13-Jul-23,04:18,13:30,19:15,21:24,22:45
,14-Jul-23,04:19,13:30,19:15,21:23,22:45
,15-Jul-23,04:20,13:30,19:15,21:22,22:45
,16-Jul-23,04:21,13:30,19:15,21:22,22:45
,17-Jul-23,04:23,13:30,19:15,21:20,22:45
,18-Jul-23,04:24,13:30,19:15,21:19,22:45
,19-Jul-23,04:25,13:30,19:15,21:18,22:45
,20-Jul-23,04:26,13:30,19:15,21:17,22:45
,21-Jul-23,04:28,13:30,19:15,21:16,22:45
,22-Jul-23,04:29,13:30,19:15,21:15,22:45
,23-Jul-23,04:30,13:30,18:45,21:13,22:45
,24-Jul-23,04:32,13:30,18:45,21:12,22:45
,25-Jul-23,04:33,13:30,18:45,21:11,22:45
,26-Jul-23,04:35,13:30,18:45,21:09,22:45
,27-Jul-23,04:36,13:30,18:45,21:08,22:45
,28-Jul-23,04:37,13:30,18:45,21:07,22:45
,29-Jul-23,04:39,13:30,18:45,21:05,22:45
,30-Jul-23,04:40,13:30,18:45,21:04,22:30
,31-Jul-23,04:42,13:30,18:45,21:02,22:30
