Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-22,04:52,13:30,18:30,20:30,22:15
,02-May-22,04:51,13:30,18:30,20:32,22:15
,03-May-22,04:49,13:30,18:30,20:33,22:15
,04-May-22,04:47,13:30,18:30,20:35,22:15
,05-May-22,04:45,13:30,18:30,20:36,22:15
,06-May-22,04:43,13:30,18:30,20:38,22:15
,07-May-22,04:42,13:30,18:30,20:40,22:15
,08-May-22,04:40,13:30,18:45,20:41,22:15
,09-May-22,04:38,13:30,18:45,20:43,22:15
,10-May-22,04:37,13:30,18:45,20:44,22:15
,11-May-22,04:35,13:30,18:45,20:46,22:15
,12-May-22,04:33,13:30,18:45,20:48,22:15
,13-May-22,04:32,13:30,18:45,20:49,22:15
,14-May-22,04:30,13:30,18:45,20:51,22:15
,15-May-22,04:29,13:30,18:45,20:52,22:30
,16-May-22,04:27,13:30,18:45,20:54,22:30
,17-May-22,04:26,13:30,18:45,20:55,22:30
,18-May-22,04:24,13:30,18:45,20:57,22:30
,19-May-22,04:23,13:30,18:45,20:58,22:30
,20-May-22,04:22,13:30,18:45,20:59,22:30
,21-May-22,04:20,13:30,18:45,21:01,22:30
,22-May-22,04:19,13:30,18:45,21:02,22:45
,23-May-22,04:18,13:30,18:45,21:04,22:45
,24-May-22,04:17,13:30,18:45,21:05,22:45
,25-May-22,04:16,13:30,18:45,21:06,22:45
,26-May-22,04:14,13:30,18:45,21:08,22:45
,27-May-22,04:13,13:30,18:45,21:09,22:45
,28-May-22,04:12,13:30,18:45,21:10,22:45
,29-May-22,04:11,13:30,19:15,21:11,22:45
,30-May-22,04:10,13:30,19:15,21:13,22:45
,31-May-22,04:10,13:30,19:15,21:14,22:45
