Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Nov-23,06:13,13:00,15:15,16:45,19:30
,02-Nov-23,06:15,13:00,15:15,16:43,19:30
,03-Nov-23,06:16,12:30,15:15,16:42,19:30
,04-Nov-23,06:18,13:00,15:15,16:40,19:30
,05-Nov-23,06:20,13:00,15:15,16:38,19:30
,06-Nov-23,06:22,13:00,15:00,16:36,19:30
,07-Nov-23,06:23,13:00,15:00,16:35,19:30
,08-Nov-23,06:25,13:00,15:00,16:33,19:30
,09-Nov-23,06:27,13:00,15:00,16:32,19:30
,10-Nov-23,06:29,12:30,15:00,16:30,19:30
,11-Nov-23,06:30,13:00,15:00,16:28,19:30
,12-Nov-23,06:32,13:00,15:00,16:27,19:30
,13-Nov-23,06:34,13:00,14:45,16:25,19:30
,14-Nov-23,06:36,13:00,14:45,16:24,19:30
,15-Nov-23,06:37,13:00,14:45,16:23,19:30
,16-Nov-23,06:39,13:00,14:45,16:21,19:30
,17-Nov-23,06:41,12:30,14:45,16:20,19:30
,18-Nov-23,06:42,13:00,14:45,16:18,19:30
,19-Nov-23,06:44,13:00,14:45,16:17,19:30
,20-Nov-23,06:46,13:00,14:45,16:16,19:30
,21-Nov-23,06:47,13:00,14:45,16:15,19:30
,22-Nov-23,06:49,13:00,14:45,16:14,19:30
,23-Nov-23,06:51,13:00,14:45,16:13,19:30
,24-Nov-23,06:52,12:30,14:45,16:12,19:30
,25-Nov-23,06:54,13:00,14:45,16:11,19:30
,26-Nov-23,06:55,13:00,14:45,16:10,19:30
,27-Nov-23,06:57,13:00,14:45,16:09,19:30
,28-Nov-23,06:58,13:00,14:45,16:08,19:30
,29-Nov-23,07:00,13:00,14:45,16:07,19:30
,30-Nov-23,07:01,13:00,14:45,16:06,19:30
