Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:20,13:30,17:15,18:51,20:30
,02-Oct-23,06:22,13:30,17:15,18:48,20:30
,03-Oct-23,06:23,13:30,17:15,18:46,20:30
,04-Oct-23,06:25,13:30,17:15,18:44,20:30
,05-Oct-23,06:27,13:30,17:15,18:42,20:30
,06-Oct-23,06:28,13:30,17:15,18:39,20:30
,07-Oct-23,06:30,13:30,17:15,18:37,20:30
,08-Oct-23,06:32,13:30,16:45,18:35,20:15
,09-Oct-23,06:33,13:30,16:45,18:33,20:15
,10-Oct-23,06:35,13:30,16:45,18:30,20:15
,11-Oct-23,06:37,13:30,16:45,18:28,20:15
,12-Oct-23,06:38,13:30,16:45,18:26,20:15
,13-Oct-23,06:40,13:30,16:45,18:24,20:15
,14-Oct-23,06:42,13:30,16:45,18:22,20:15
,15-Oct-23,06:43,13:30,16:30,18:19,20:00
,16-Oct-23,06:45,13:30,16:30,18:17,20:00
,17-Oct-23,06:47,13:30,16:30,18:15,20:00
,18-Oct-23,06:48,13:30,16:30,18:12,20:00
,19-Oct-23,06:50,13:30,16:30,18:11,20:00
,20-Oct-23,06:52,13:30,16:30,18:09,20:00
,21-Oct-23,06:54,13:30,16:30,18:07,20:00
,22-Oct-23,06:55,13:30,16:15,18:05,19:45
,23-Oct-23,06:57,13:30,16:15,18:03,19:45
,24-Oct-23,06:59,13:30,16:15,18:01,19:45
,25-Oct-23,07:01,13:30,16:15,17:59,19:45
,26-Oct-23,07:02,13:30,16:15,17:57,19:45
,27-Oct-23,07:04,13:30,16:15,17:55,19:45
,28-Oct-23,07:06,13:30,16:15,17:53,19:45
,29-Oct-23,06:08,13:00,15:15,16:51,19:30
,30-Oct-23,06:09,13:00,15:15,16:49,19:30
,31-Oct-23,06:11,13:00,15:15,16:47,19:30
