Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-23,05:32,13:30,18:15,19:59,21:45
,02-Sep-23,05:34,13:30,18:15,19:57,21:45
,03-Sep-23,05:35,13:30,18:00,19:55,21:30
,04-Sep-23,05:37,13:30,18:00,19:53,21:30
,05-Sep-23,05:38,13:30,18:00,19:50,21:30
,06-Sep-23,05:40,13:30,18:00,19:48,21:30
,07-Sep-23,05:42,13:30,18:00,19:46,21:30
,08-Sep-23,05:43,13:30,18:00,19:44,21:30
,09-Sep-23,05:45,13:30,18:00,19:41,21:30
,10-Sep-23,05:46,13:30,18:00,19:39,21:15
,11-Sep-23,05:48,13:30,18:00,19:37,21:15
,12-Sep-23,05:50,13:30,18:00,19:34,21:15
,13-Sep-23,05:51,13:30,18:00,19:32,21:15
,14-Sep-23,05:53,13:30,18:00,19:30,21:15
,15-Sep-23,05:54,13:30,18:00,19:28,21:15
,16-Sep-23,05:56,13:30,18:00,19:25,21:15
,17-Sep-23,05:58,13:30,17:45,19:23,21:00
,18-Sep-23,05:59,13:30,17:45,19:21,21:00
,19-Sep-23,06:01,13:30,17:45,19:18,21:00
,20-Sep-23,06:02,13:30,17:45,19:16,21:00
,21-Sep-23,06:04,13:30,17:45,19:14,21:00
,22-Sep-23,06:06,13:30,17:45,19:11,21:00
,23-Sep-23,06:07,13:30,17:45,19:09,21:00
,24-Sep-23,06:09,13:30,17:30,19:07,20:45
,25-Sep-23,06:10,13:30,17:30,19:04,20:45
,26-Sep-23,06:12,13:30,17:30,19:03,20:45
,27-Sep-23,06:14,13:30,17:30,19:00,20:45
,28-Sep-23,06:15,13:30,17:30,18:58,20:45
,29-Sep-23,06:17,13:30,17:30,18:55,20:45
,30-Sep-23,06:18,13:30,17:30,18:53,20:45
