Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-23,05:15,13:30,18:15,19:53,21:30
,02-Sep-23,05:30,13:30,18:00,19:51,21:30
,03-Sep-23,05:30,13:30,18:00,19:49,21:30
,04-Sep-23,05:30,13:30,18:00,19:47,21:30
,05-Sep-23,05:30,13:30,18:00,19:44,21:30
,06-Sep-23,05:30,13:30,18:00,19:42,21:30
,07-Sep-23,05:30,13:30,18:00,19:40,21:30
,08-Sep-23,05:30,13:30,18:00,19:38,21:30
,09-Sep-23,05:30,13:30,17:45,19:35,21:15
,10-Sep-23,05:30,13:30,17:45,19:33,21:15
,11-Sep-23,05:30,13:30,17:45,19:31,21:15
,12-Sep-23,05:30,13:30,17:45,19:28,21:15
,13-Sep-23,05:30,13:30,17:45,19:26,21:15
,14-Sep-23,05:30,13:30,17:45,19:24,21:15
,15-Sep-23,05:30,13:30,17:45,19:21,21:15
,16-Sep-23,05:45,13:30,17:45,19:19,21:00
,17-Sep-23,05:45,13:30,17:45,19:17,21:00
,18-Sep-23,05:45,13:30,17:45,19:15,21:00
,19-Sep-23,05:45,13:30,17:45,19:12,21:00
,20-Sep-23,05:45,13:30,17:45,19:10,21:00
,21-Sep-23,05:45,13:30,17:45,19:08,21:00
,22-Sep-23,05:45,13:30,17:45,19:05,21:00
,23-Sep-23,06:00,13:30,17:30,19:03,20:45
,24-Sep-23,06:00,13:30,17:30,19:01,20:45
,25-Sep-23,06:00,13:30,17:30,18:58,20:45
,26-Sep-23,06:00,13:30,17:30,18:56,20:45
,27-Sep-23,06:00,13:30,17:30,18:54,20:45
,28-Sep-23,06:00,13:30,17:30,18:52,20:45
,29-Sep-23,06:00,13:30,17:30,18:49,20:45
,30-Sep-23,06:15,13:30,17:15,18:47,20:30
