Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:27,13:30,18:15,19:52,21:30
,02-Apr-23,05:25,13:30,18:15,19:54,21:30
,03-Apr-23,05:23,13:30,18:15,19:56,21:30
,04-Apr-23,05:21,13:30,18:15,19:57,21:30
,05-Apr-23,05:18,13:30,18:15,19:59,21:30
,06-Apr-23,05:16,13:30,18:15,20:01,21:30
,07-Apr-23,05:14,13:30,18:15,20:02,21:30
,08-Apr-23,05:12,13:30,18:15,20:04,21:30
,09-Apr-23,05:09,13:30,18:15,20:06,21:30
,10-Apr-23,05:07,13:30,18:15,20:07,21:30
,11-Apr-23,05:05,13:30,18:15,20:09,21:30
,12-Apr-23,05:03,13:30,18:15,20:11,21:30
,13-Apr-23,05:00,13:30,18:15,20:12,21:30
,14-Apr-23,04:57,13:30,18:15,20:14,21:30
,15-Apr-23,04:55,13:30,18:30,20:16,21:45
,16-Apr-23,04:52,13:30,18:30,20:17,21:45
,17-Apr-23,04:49,13:30,18:30,20:19,21:45
,18-Apr-23,04:47,13:30,18:30,20:21,21:45
,19-Apr-23,04:45,13:30,18:30,20:22,21:45
,20-Apr-23,04:42,13:30,18:30,20:24,21:45
,21-Apr-23,05:00,13:30,18:30,20:16,21:45
,22-Apr-23,05:00,13:30,18:45,20:27,22:00
,23-Apr-23,05:00,13:30,18:45,20:29,22:00
,24-Apr-23,05:00,13:30,18:45,20:31,22:00
,25-Apr-23,05:00,13:30,18:45,20:32,22:00
,26-Apr-23,05:00,13:30,18:45,20:34,22:00
,27-Apr-23,05:00,13:30,18:45,20:36,22:00
,28-Apr-23,05:00,13:30,18:45,20:37,22:00
,29-Apr-23,04:45,13:30,18:45,20:39,22:00
,30-Apr-23,04:45,13:30,18:45,20:41,22:00
