Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,06:15,13:30,17:00,18:48,20:15
,02-Oct-22,06:15,13:30,17:00,18:45,20:15
,03-Oct-22,06:15,13:30,17:00,18:43,20:15
,04-Oct-22,06:15,13:30,17:00,18:41,20:15
,05-Oct-22,06:15,13:30,17:00,18:39,20:15
,06-Oct-22,06:15,13:30,17:00,18:36,20:15
,07-Oct-22,06:15,13:30,17:00,18:34,20:15
,08-Oct-22,06:15,13:30,16:45,18:32,20:00
,09-Oct-22,06:15,13:30,16:45,18:30,20:00
,10-Oct-22,06:15,13:30,16:45,18:27,20:00
,11-Oct-22,06:15,13:30,16:45,18:25,20:00
,12-Oct-22,06:15,13:30,16:45,18:23,20:00
,13-Oct-22,06:15,13:30,16:45,18:21,20:00
,14-Oct-22,06:15,13:30,16:45,18:19,20:00
,15-Oct-22,06:30,13:30,16:30,18:17,20:00
,16-Oct-22,06:30,13:30,16:30,18:14,20:00
,17-Oct-22,06:30,13:30,16:30,18:12,20:00
,18-Oct-22,06:30,13:30,16:30,18:10,20:00
,19-Oct-22,06:30,13:30,16:30,18:08,20:00
,20-Oct-22,06:30,13:30,16:30,18:06,20:00
,21-Oct-22,06:30,13:30,16:30,18:04,20:00
,22-Oct-22,06:45,13:30,16:15,18:02,20:00
,23-Oct-22,06:45,13:30,16:15,18:00,20:00
,24-Oct-22,06:45,13:30,16:15,17:58,20:00
,25-Oct-22,06:45,13:30,16:15,17:56,20:00
,26-Oct-22,06:45,13:30,16:15,17:54,20:00
,27-Oct-22,06:45,13:30,16:15,17:52,20:00
,28-Oct-22,06:45,13:30,16:15,17:50,20:00
,29-Oct-22,06:45,13:30,16:15,17:48,20:00
,30-Oct-22,05:45,13:00,15:00,16:46,19:45
,31-Oct-22,05:45,13:00,15:00,16:45,19:45
