Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,06:00,13:30,18:00,19:42,21:30
,02-Apr-22,05:14,13:30,18:00,19:51,21:30
,03-Apr-22,05:12,13:30,18:15,19:53,21:30
,04-Apr-22,05:10,13:30,18:15,19:54,21:30
,05-Apr-22,05:08,13:30,18:15,19:56,21:30
,06-Apr-22,05:05,13:30,18:15,19:58,21:30
,07-Apr-22,05:03,13:30,18:15,19:59,21:30
,08-Apr-22,05:01,13:30,18:15,20:01,21:45
,09-Apr-22,04:58,13:30,18:15,20:03,21:45
,10-Apr-22,04:56,13:30,18:30,20:04,21:45
,11-Apr-22,04:54,13:30,18:30,20:06,21:45
,12-Apr-22,04:52,13:30,18:30,20:08,21:45
,13-Apr-22,04:50,13:30,18:30,20:09,21:45
,14-Apr-22,04:47,13:30,18:30,20:11,21:45
,15-Apr-22,04:45,13:30,18:30,20:03,21:45
,16-Apr-22,04:43,13:30,18:30,20:14,22:00
,17-Apr-22,04:41,13:30,18:45,20:16,22:00
,18-Apr-22,04:38,13:30,18:45,20:18,22:00
,19-Apr-22,04:36,13:30,18:45,20:19,22:00
,20-Apr-22,04:34,13:30,18:45,20:21,22:00
,21-Apr-22,04:31,13:30,18:45,20:23,22:00
,22-Apr-22,04:29,13:30,18:45,20:24,22:15
,23-Apr-22,04:26,13:30,18:45,20:26,22:15
,24-Apr-22,04:23,13:30,18:45,20:28,22:15
,25-Apr-22,04:21,13:30,18:45,20:29,22:15
,26-Apr-22,04:19,13:30,18:45,20:31,22:15
,27-Apr-22,04:16,13:30,18:45,20:33,22:15
,28-Apr-22,04:15,13:30,18:45,20:34,22:15
,29-Apr-22,04:13,13:30,18:45,20:36,22:15
,30-Apr-22,04:10,13:30,18:45,20:38,22:15
