Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-22,05:15,13:30,18:30,19:56,21:30
,02-Sep-22,05:15,13:30,18:30,19:54,21:30
,03-Sep-22,05:15,13:30,18:30,19:52,21:30
,04-Sep-22,05:30,13:30,18:15,19:49,21:15
,05-Sep-22,05:30,13:30,18:15,19:47,21:15
,06-Sep-22,05:30,13:30,18:15,19:45,21:15
,07-Sep-22,05:30,13:30,18:15,19:43,21:15
,08-Sep-22,05:30,13:30,18:15,19:40,21:15
,09-Sep-22,05:30,13:30,18:15,19:38,21:15
,10-Sep-22,05:30,13:30,18:15,19:36,21:15
,11-Sep-22,05:45,13:30,18:00,19:33,21:00
,12-Sep-22,05:45,13:30,18:00,19:31,21:00
,13-Sep-22,05:45,13:30,18:00,19:29,21:00
,14-Sep-22,05:45,13:30,18:00,19:27,21:00
,15-Sep-22,05:45,13:30,18:00,19:24,21:00
,16-Sep-22,05:45,13:30,18:00,19:22,21:00
,17-Sep-22,05:45,13:30,18:00,19:20,21:00
,18-Sep-22,06:00,13:30,17:45,19:17,20:45
,19-Sep-22,06:00,13:30,17:45,19:15,20:45
,20-Sep-22,06:00,13:30,17:45,19:13,20:45
,21-Sep-22,06:00,13:30,17:45,19:10,20:45
,22-Sep-22,06:00,13:30,17:45,19:08,20:45
,23-Sep-22,06:00,13:30,17:45,19:06,20:45
,24-Sep-22,06:00,13:30,17:45,19:03,20:45
,25-Sep-22,06:00,13:30,17:30,19:01,20:30
,26-Sep-22,06:00,13:30,17:30,18:59,20:30
,27-Sep-22,06:00,13:30,17:30,18:57,20:30
,28-Sep-22,06:00,13:30,17:30,18:54,20:30
,29-Sep-22,06:00,13:30,17:30,18:52,20:30
,30-Sep-22,06:00,13:30,17:30,18:50,20:30
