Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-22,06:34,13:00,15:30,16:58,19:30
,02-Feb-22,06:32,13:00,15:30,17:00,19:30
,03-Feb-22,06:31,13:00,15:30,17:02,19:30
,04-Feb-22,06:29,13:00,15:30,17:03,19:30
,05-Feb-22,06:28,13:00,15:30,17:05,19:30
,06-Feb-22,06:26,13:00,15:30,17:07,19:30
,07-Feb-22,06:24,13:00,15:30,17:09,19:30
,08-Feb-22,06:22,13:00,15:30,17:11,19:30
,09-Feb-22,06:21,13:00,15:45,17:13,19:30
,10-Feb-22,06:19,13:00,15:45,17:14,19:30
,11-Feb-22,06:17,13:00,15:45,17:16,19:30
,12-Feb-22,06:15,13:00,15:45,17:18,19:30
,13-Feb-22,06:13,13:00,15:45,17:20,19:30
,14-Feb-22,06:12,13:00,15:45,17:22,19:30
,15-Feb-22,06:10,13:00,15:45,17:24,19:30
,16-Feb-22,06:08,13:00,15:45,17:25,19:30
,17-Feb-22,06:06,13:00,15:45,17:27,19:30
,18-Feb-22,06:04,13:00,16:00,17:29,19:30
,19-Feb-22,06:02,13:00,16:00,17:31,19:30
,20-Feb-22,06:00,13:00,16:00,17:33,19:30
,21-Feb-22,05:58,13:00,16:00,17:34,19:30
,22-Feb-22,05:56,13:00,16:00,17:36,19:30
,23-Feb-22,05:54,13:00,16:00,17:38,19:30
,24-Feb-22,05:52,13:00,16:00,17:40,19:30
,25-Feb-22,05:50,13:00,16:00,17:42,19:30
,26-Feb-22,05:47,13:15,16:00,17:43,19:30
,27-Feb-22,05:45,13:15,16:00,17:45,19:30
,28-Feb-22,05:43,13:15,16:00,17:47,19:30
