Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-23,05:13,13:30,18:00,19:56,21:15
,02-Sep-23,05:14,13:30,18:00,19:54,21:15
,03-Sep-23,05:16,13:30,18:00,19:51,21:15
,04-Sep-23,05:17,13:30,18:00,19:49,21:15
,05-Sep-23,05:19,13:30,18:00,19:47,21:15
,06-Sep-23,05:21,13:30,18:00,19:45,21:15
,07-Sep-23,05:22,13:30,18:00,19:42,21:15
,08-Sep-23,05:24,13:30,18:00,19:40,21:15
,09-Sep-23,05:25,13:30,17:45,19:38,21:00
,10-Sep-23,05:27,13:30,17:45,19:35,21:00
,11-Sep-23,05:29,13:30,17:45,19:33,21:00
,12-Sep-23,05:30,13:30,17:45,19:31,21:00
,13-Sep-23,05:32,13:30,17:45,19:29,21:00
,14-Sep-23,05:33,13:30,17:45,19:26,21:00
,15-Sep-23,05:35,13:30,17:45,19:24,21:00
,16-Sep-23,05:38,13:30,17:30,19:22,20:45
,17-Sep-23,05:39,13:30,17:30,19:19,20:45
,18-Sep-23,05:41,13:30,17:30,19:17,20:45
,19-Sep-23,05:43,13:30,17:30,19:15,20:45
,20-Sep-23,05:45,13:30,17:30,19:12,20:45
,21-Sep-23,05:47,13:30,17:30,19:10,20:45
,22-Sep-23,05:49,13:30,17:30,19:08,20:45
,23-Sep-23,05:51,13:30,17:15,19:05,20:30
,24-Sep-23,05:52,13:30,17:15,19:03,20:30
,25-Sep-23,05:55,13:30,17:15,19:01,20:30
,26-Sep-23,05:57,13:30,17:15,18:59,20:30
,27-Sep-23,05:58,13:30,17:15,18:56,20:30
,28-Sep-23,06:01,13:30,17:15,18:54,20:30
,29-Sep-23,06:02,13:30,17:15,18:52,20:30
,30-Sep-23,06:04,13:30,17:15,18:49,20:30
