Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,05:45,13:30,18:00,19:42,21:15
,02-Apr-22,05:19,13:30,18:00,19:43,21:15
,03-Apr-22,05:17,13:30,18:00,19:50,21:15
,04-Apr-22,05:15,13:30,18:00,19:52,21:15
,05-Apr-22,05:12,13:30,18:00,19:54,21:15
,06-Apr-22,05:10,13:30,18:00,19:55,21:15
,07-Apr-22,05:08,13:30,18:00,19:57,21:15
,08-Apr-22,05:06,13:30,18:15,19:59,21:30
,09-Apr-22,05:03,13:30,18:15,20:00,21:30
,10-Apr-22,05:01,13:30,18:15,20:02,21:30
,11-Apr-22,04:59,13:30,18:15,20:04,21:30
,12-Apr-22,04:57,13:30,18:15,20:05,21:30
,13-Apr-22,04:55,13:30,18:15,20:07,21:30
,14-Apr-22,04:52,13:30,18:15,20:09,21:30
,15-Apr-22,04:50,13:30,18:30,20:10,21:45
,16-Apr-22,04:48,13:30,18:30,20:12,21:45
,17-Apr-22,04:46,13:30,18:30,20:14,21:45
,18-Apr-22,04:43,13:30,18:30,20:15,21:45
,19-Apr-22,04:41,13:30,18:30,20:17,21:45
,20-Apr-22,04:39,13:30,18:30,20:19,21:45
,21-Apr-22,04:36,13:30,18:30,20:20,21:45
,22-Apr-22,04:34,13:30,18:30,20:22,21:50
,23-Apr-22,04:31,13:30,18:30,20:24,21:50
,24-Apr-22,04:28,13:30,18:30,20:25,21:50
,25-Apr-22,04:26,13:30,18:30,20:27,21:50
,26-Apr-22,04:24,13:30,18:30,20:29,21:50
,27-Apr-22,04:21,13:30,18:30,20:30,21:50
,28-Apr-22,04:20,13:30,18:30,20:32,21:50
,29-Apr-22,04:18,13:30,18:45,20:34,22:00
,30-Apr-22,04:15,13:30,18:45,20:35,22:00
