Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-18,06:00,13:30,18:00,19:37,21:15
,02-Apr-18,05:45,13:30,18:15,19:39,21:30
,03-Apr-18,05:45,13:30,18:15,19:40,21:30
,04-Apr-18,05:45,13:30,18:15,19:42,21:30
,05-Apr-18,05:45,13:30,18:15,19:44,21:30
,06-Apr-18,05:45,13:30,18:15,19:45,21:30
,07-Apr-18,05:45,13:30,18:15,19:47,21:30
,08-Apr-18,05:45,13:30,18:15,19:49,21:30
,09-Apr-18,05:30,13:30,18:15,19:50,21:45
,10-Apr-18,05:30,13:30,18:15,19:52,21:45
,11-Apr-18,05:30,13:30,18:15,19:54,21:45
,12-Apr-18,05:30,13:30,18:15,19:55,21:45
,13-Apr-18,05:30,13:30,18:15,19:57,21:45
,14-Apr-18,05:30,13:30,18:15,19:59,21:45
,15-Apr-18,05:30,13:30,18:15,20:00,21:45
,16-Apr-18,05:15,13:30,18:30,20:02,21:45
,17-Apr-18,05:15,13:30,18:30,20:04,21:45
,18-Apr-18,05:15,13:30,18:30,20:05,21:45
,19-Apr-18,05:15,13:30,18:30,20:07,21:45
,20-Apr-18,05:15,13:30,18:30,20:09,21:45
,21-Apr-18,05:15,13:30,18:30,20:10,21:45
,22-Apr-18,05:15,13:30,18:30,20:12,21:45
,23-Apr-18,05:00,13:30,19:00,20:14,22:00
,24-Apr-18,05:00,13:30,19:00,20:15,22:00
,25-Apr-18,05:00,13:30,19:00,20:17,22:00
,26-Apr-18,05:00,13:30,19:00,20:19,22:00
,27-Apr-18,05:00,13:30,19:00,20:20,22:00
,28-Apr-18,05:00,13:30,19:00,20:22,22:00
,29-Apr-18,05:00,13:30,19:00,20:24,22:00
,30-Apr-18,04:45,13:30,19:15,20:25,22:15
