Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-18,06:50,13:00,14:45,15:57,19:30
,02-Dec-18,06:50,13:00,14:45,15:56,19:30
,03-Dec-18,07:00,13:00,14:45,15:56,19:30
,04-Dec-18,07:00,13:00,14:45,15:55,19:30
,05-Dec-18,07:00,13:00,14:45,15:55,19:30
,06-Dec-18,07:00,13:00,14:45,15:54,19:30
,07-Dec-18,07:00,13:15,14:45,15:54,19:30
,08-Dec-18,07:00,13:00,14:45,15:54,19:30
,09-Dec-18,07:00,13:00,14:45,15:54,19:30
,10-Dec-18,07:00,13:00,14:45,15:54,19:30
,11-Dec-18,07:00,13:00,14:45,15:54,19:30
,12-Dec-18,07:00,13:00,14:45,15:54,19:30
,13-Dec-18,07:00,13:00,14:45,15:54,19:30
,14-Dec-18,07:00,13:15,14:45,15:54,19:30
,15-Dec-18,07:00,13:00,14:45,15:54,19:30
,16-Dec-18,07:00,13:00,14:45,15:54,19:30
,17-Dec-18,07:00,13:00,14:45,15:54,19:30
,18-Dec-18,07:00,13:00,14:45,15:55,19:30
,19-Dec-18,07:00,13:00,14:45,15:55,19:30
,20-Dec-18,07:00,13:00,14:45,15:55,19:30
,21-Dec-18,07:00,13:15,14:45,15:56,19:30
,22-Dec-18,07:00,13:00,14:45,15:57,19:30
,23-Dec-18,07:00,13:00,14:45,15:57,19:30
,24-Dec-18,07:10,13:00,14:45,15:58,19:30
,25-Dec-18,07:10,13:00,14:45,15:59,19:30
,26-Dec-18,07:10,13:00,14:45,15:59,19:30
,27-Dec-18,07:10,13:00,14:45,16:00,19:30
,28-Dec-18,07:10,13:15,14:45,16:01,19:30
,29-Dec-18,07:10,13:00,14:45,16:02,19:30
,30-Dec-18,07:10,13:00,14:45,16:03,19:30
,31-Dec-18,07:10,13:00,14:45,16:04,19:30
