Day,DATE,FAJR,zohar,ASR,MAGHRIB,ESHA
,01-Feb-19,06:45,13:00,15:30,16:53,19:15
,02-Feb-19,06:45,13:00,15:30,16:54,19:15
,03-Feb-19,06:45,13:00,15:30,16:56,19:15
,04-Feb-19,06:45,13:00,15:45,16:58,19:15
,05-Feb-19,06:45,13:00,15:45,17:00,19:15
,06-Feb-19,06:45,13:00,15:45,17:02,19:15
,07-Feb-19,06:45,13:00,15:45,17:03,19:15
,08-Feb-19,06:45,13:00,15:45,17:05,19:15
,09-Feb-19,06:45,13:00,15:45,17:07,19:15
,10-Feb-19,06:45,13:00,15:45,17:09,19:15
,11-Feb-19,06:30,13:00,16:00,17:11,19:15
,12-Feb-19,06:30,13:00,16:00,17:13,19:15
,13-Feb-19,06:30,13:00,16:00,17:14,19:15
,14-Feb-19,06:30,13:00,16:00,17:16,19:15
,15-Feb-19,06:30,13:00,16:00,17:18,19:15
,16-Feb-19,06:30,13:00,16:00,17:20,19:15
,17-Feb-19,06:30,13:00,16:00,17:22,19:15
,18-Feb-19,06:15,13:00,16:00,17:24,19:15
,19-Feb-19,06:15,13:00,16:00,17:26,19:15
,20-Feb-19,06:15,13:00,16:00,17:28,19:15
,21-Feb-19,06:15,13:00,16:00,17:29,19:15
,22-Feb-19,06:15,13:00,16:00,17:31,19:15
,23-Feb-19,06:15,13:00,16:00,17:33,19:15
,24-Feb-19,06:15,13:00,16:00,17:34,19:15
,25-Feb-19,06:00,13:00,16:15,17:36,19:15
,26-Feb-19,06:00,13:00,16:15,17:38,19:30
,27-Feb-19,06:00,13:00,16:15,17:40,19:30
,28-Feb-19,06:00,13:00,16:15,17:42,19:30
