Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-18,07:10,13:00,14:45,16:04,19:30
,02-Jan-18,07:10,13:00,14:45,16:05,19:30
,03-Jan-18,07:10,13:00,14:45,16:06,19:30
,04-Jan-18,07:10,13:00,14:45,16:07,19:30
,05-Jan-18,07:10,13:15,14:45,16:09,19:30
,06-Jan-18,07:10,13:00,14:45,16:10,19:30
,07-Jan-18,07:10,13:00,14:45,16:11,19:30
,08-Jan-18,07:00,13:15,15:00,16:12,19:30
,09-Jan-18,07:00,13:15,15:00,16:14,19:30
,10-Jan-18,07:00,13:15,15:00,16:15,19:30
,11-Jan-18,07:00,13:15,15:00,16:17,19:30
,12-Jan-18,07:00,13:15,15:00,16:18,19:30
,13-Jan-18,07:00,13:15,15:00,16:19,19:30
,14-Jan-18,07:00,13:15,15:00,16:21,19:30
,15-Jan-18,07:00,13:15,15:30,16:23,19:30
,16-Jan-18,07:00,13:15,15:30,16:24,19:30
,17-Jan-18,07:00,13:15,15:30,16:26,19:30
,18-Jan-18,07:00,13:15,15:30,16:27,19:30
,19-Jan-18,07:00,13:15,15:30,16:29,19:30
,20-Jan-18,07:00,13:15,15:30,16:31,19:30
,21-Jan-18,07:00,13:15,15:30,16:32,19:30
,22-Jan-18,07:00,13:15,15:30,16:34,19:30
,23-Jan-18,07:00,13:15,15:30,16:36,19:30
,24-Jan-18,07:00,13:15,15:30,16:37,19:30
,25-Jan-18,07:00,13:15,15:30,16:39,19:30
,26-Jan-18,07:00,13:15,15:30,16:41,19:30
,27-Jan-18,07:00,13:15,15:30,16:43,19:30
,28-Jan-18,07:00,13:15,15:30,16:44,19:30
,29-Jan-18,06:45,13:15,15:45,16:46,19:30
,30-Jan-18,06:45,13:15,15:45,16:48,19:30
,31-Jan-18,06:45,13:15,15:45,16:50,19:30
