Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-19,03:45,13:30,19:15,21:24,23:00
,02-Jul-19,03:45,13:30,19:15,21:23,23:00
,03-Jul-19,03:45,13:30,19:15,21:23,23:00
,04-Jul-19,03:45,13:30,19:15,21:23,23:00
,05-Jul-19,03:45,13:30,19:15,21:22,23:00
,06-Jul-19,03:45,13:30,19:15,21:21,23:00
,07-Jul-19,03:45,13:30,19:15,21:21,23:00
,08-Jul-19,03:45,13:30,19:15,21:20,23:00
,09-Jul-19,03:45,13:30,19:15,21:19,23:00
,10-Jul-19,03:45,13:30,19:15,21:19,23:00
,11-Jul-19,03:45,13:30,19:15,21:18,23:00
,12-Jul-19,03:45,13:30,19:15,21:17,23:00
,13-Jul-19,03:45,13:30,19:15,21:16,23:00
,14-Jul-19,03:45,13:30,19:15,21:15,23:00
,15-Jul-19,04:00,13:30,19:15,21:14,22:45
,16-Jul-19,04:00,13:30,19:15,21:13,22:45
,17-Jul-19,04:00,13:30,19:15,21:12,22:45
,18-Jul-19,04:00,13:30,19:15,21:11,22:45
,19-Jul-19,04:00,13:30,19:15,21:10,22:45
,20-Jul-19,04:00,13:30,19:15,21:09,22:45
,21-Jul-19,04:00,13:30,19:15,21:07,22:45
,22-Jul-19,04:00,13:30,19:15,21:06,22:45
,23-Jul-19,04:00,13:30,19:15,21:05,22:45
,24-Jul-19,04:00,13:30,19:15,21:03,22:45
,25-Jul-19,04:00,13:30,19:15,21:02,22:45
,26-Jul-19,04:00,13:30,19:15,21:01,22:45
,27-Jul-19,04:00,13:30,19:15,20:59,22:45
,28-Jul-19,04:00,13:30,19:15,20:58,22:45
,29-Jul-19,04:15,13:30,19:00,20:56,22:30
,30-Jul-19,04:15,13:30,19:00,20:55,22:30
,31-Jul-19,04:15,13:30,19:00,20:53,22:30
