Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-18,03:14,13:30,19:30,21:11,22:55
,02-Jun-18,03:13,13:30,19:30,21:12,22:55
,03-Jun-18,03:12,13:30,19:30,21:13,22:55
,04-Jun-18,03:11,13:30,19:30,21:14,22:55
,05-Jun-18,03:10,13:30,19:30,21:15,22:55
,06-Jun-18,03:09,13:30,19:30,21:16,22:55
,07-Jun-18,03:08,13:30,19:30,21:17,22:55
,08-Jun-18,03:07,13:30,19:30,21:18,22:55
,09-Jun-18,03:06,13:30,19:30,21:18,22:55
,10-Jun-18,03:05,13:30,19:30,21:19,22:55
,11-Jun-18,03:04,13:30,19:30,21:20,22:55
,12-Jun-18,03:03,13:30,19:30,21:20,22:55
,13-Jun-18,03:03,13:30,19:30,21:21,22:55
,14-Jun-18,03:02,13:30,19:30,21:21,22:55
,15-Jun-18,03:45,13:30,19:30,21:22,22:55
,16-Jun-18,03:45,13:30,19:30,21:22,22:55
,17-Jun-18,03:45,13:30,19:30,21:23,22:55
,18-Jun-18,03:45,13:30,19:30,21:23,22:55
,19-Jun-18,03:45,13:30,19:30,21:23,22:55
,20-Jun-18,03:45,13:30,19:30,21:24,22:55
,21-Jun-18,03:45,13:30,19:30,21:24,22:55
,22-Jun-18,03:45,13:30,19:30,21:24,22:55
,23-Jun-18,03:45,13:30,19:30,21:24,22:55
,24-Jun-18,03:45,13:30,19:30,21:24,22:55
,25-Jun-18,03:45,13:30,19:30,21:24,22:55
,26-Jun-18,03:45,13:30,19:30,21:24,22:55
,27-Jun-18,03:45,13:30,19:30,21:24,22:55
,28-Jun-18,03:45,13:30,19:30,21:24,22:55
,29-Jun-18,03:45,13:30,19:30,21:23,22:55
,30-Jun-18,03:45,13:30,19:30,21:23,22:55
