Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-19,06:15,13:30,17:15,18:43,20:15
,02-Oct-19,06:15,13:30,17:15,18:41,20:15
,03-Oct-19,06:15,13:30,17:15,18:40,20:15
,04-Oct-19,06:15,13:30,17:15,18:38,20:15
,05-Oct-19,06:15,13:30,17:15,18:35,20:15
,06-Oct-19,06:15,13:30,17:15,18:32,20:15
,07-Oct-19,06:15,13:30,17:00,18:30,20:00
,08-Oct-19,06:15,13:30,17:00,18:28,20:00
,09-Oct-19,06:15,13:30,17:00,18:25,20:00
,10-Oct-19,06:15,13:30,17:00,18:22,20:00
,11-Oct-19,06:15,13:30,17:00,18:20,20:00
,12-Oct-19,06:15,13:30,17:00,18:18,20:00
,13-Oct-19,06:15,13:30,17:00,18:16,20:00
,14-Oct-19,06:30,13:30,16:45,18:13,19:45
,15-Oct-19,06:30,13:30,16:45,18:11,19:45
,16-Oct-19,06:30,13:30,16:45,18:09,19:45
,17-Oct-19,06:30,13:30,16:45,18:07,19:45
,18-Oct-19,06:30,13:30,16:45,18:05,19:45
,19-Oct-19,06:30,13:30,16:45,18:03,19:45
,20-Oct-19,06:30,13:30,16:45,18:01,19:45
,21-Oct-19,06:45,13:30,16:30,17:59,19:45
,22-Oct-19,06:45,13:30,16:30,17:57,19:45
,23-Oct-19,06:45,13:30,16:30,17:55,19:45
,24-Oct-19,06:45,13:30,16:30,17:53,19:45
,25-Oct-19,06:45,13:30,16:30,17:51,19:45
,26-Oct-19,06:45,13:30,16:30,17:49,19:45
,27-Oct-19,06:00,13:00,15:30,16:47,19:15
,28-Oct-19,06:00,13:00,15:30,16:45,19:15
,29-Oct-19,06:00,13:00,15:30,16:43,19:15
,30-Oct-19,06:00,13:00,15:30,16:41,19:15
,31-Oct-19,06:00,13:00,15:30,16:39,19:15
