Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:18,13:30,18:00,19:51,21:45
,02-Apr-23,05:16,13:30,18:00,19:53,21:45
,03-Apr-23,05:14,13:30,18:00,19:54,21:45
,04-Apr-23,05:12,13:30,18:00,19:56,21:45
,05-Apr-23,05:09,13:30,18:00,19:58,21:45
,06-Apr-23,05:07,13:30,18:00,19:59,21:45
,07-Apr-23,05:05,13:30,18:15,20:01,21:45
,08-Apr-23,05:03,13:30,18:15,20:03,21:45
,09-Apr-23,05:00,13:30,18:15,20:04,21:45
,10-Apr-23,04:58,13:30,18:15,20:06,21:45
,11-Apr-23,04:56,13:30,18:15,20:08,22:00
,12-Apr-23,04:54,13:30,18:15,20:09,22:00
,13-Apr-23,04:52,13:30,18:15,20:11,22:00
,14-Apr-23,04:50,13:30,18:15,20:13,22:00
,15-Apr-23,04:47,13:30,18:15,20:14,22:00
,16-Apr-23,04:45,13:30,18:15,20:16,22:00
,17-Apr-23,04:43,13:30,18:15,20:18,22:00
,18-Apr-23,04:41,13:30,18:15,20:19,22:00
,19-Apr-23,04:38,13:30,18:15,20:21,22:00
,20-Apr-23,04:36,13:30,18:15,20:23,22:00
,21-Apr-23,04:34,13:30,18:15,20:24,22:00
,22-Apr-23,05:00,13:30,19:15,20:16,21:45
,23-Apr-23,05:00,13:30,19:15,20:18,21:45
,24-Apr-23,05:00,13:30,19:15,20:19,21:45
,25-Apr-23,05:00,13:30,19:15,20:21,21:45
,26-Apr-23,05:00,13:30,19:15,20:23,21:45
,27-Apr-23,05:00,13:30,19:15,20:24,21:45
,28-Apr-23,04:45,13:30,19:15,20:26,22:00
,29-Apr-23,04:45,13:30,19:15,20:28,22:00
,30-Apr-23,04:45,13:30,19:15,20:29,22:00
