Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-22,06:30,12:45,15:30,16:58,19:15
,02-Feb-22,06:30,12:45,15:30,17:00,19:15
,03-Feb-22,06:30,12:45,15:30,17:02,19:15
,04-Feb-22,06:15,12:30,15:45,17:03,19:15
,05-Feb-22,06:15,12:45,15:45,17:05,19:15
,06-Feb-22,06:15,12:45,15:45,17:07,19:15
,07-Feb-22,06:15,12:45,15:45,17:09,19:15
,08-Feb-22,06:15,12:45,15:45,17:11,19:15
,09-Feb-22,06:15,12:45,15:45,17:12,19:15
,10-Feb-22,06:15,12:45,15:45,17:14,19:15
,11-Feb-22,06:00,12:30,16:00,17:16,19:15
,12-Feb-22,06:00,12:45,16:00,17:18,19:15
,13-Feb-22,06:00,12:45,16:00,17:20,19:15
,14-Feb-22,06:00,12:45,16:00,17:22,19:15
,15-Feb-22,06:00,12:45,16:00,17:23,19:15
,16-Feb-22,06:00,12:45,16:00,17:25,19:15
,17-Feb-22,06:00,12:45,16:00,17:27,19:15
,18-Feb-22,05:45,12:30,16:00,17:29,19:15
,19-Feb-22,05:45,12:45,16:00,17:31,19:15
,20-Feb-22,05:45,12:45,16:00,17:33,19:15
,21-Feb-22,05:45,12:45,16:00,17:34,19:30
,22-Feb-22,05:45,12:45,16:00,17:36,19:30
,23-Feb-22,05:45,12:45,16:00,17:38,19:30
,24-Feb-22,05:45,12:45,16:00,17:40,19:30
,25-Feb-22,05:30,12:30,16:15,17:42,19:30
,26-Feb-22,05:30,12:45,16:15,17:43,19:30
,27-Feb-22,05:30,12:45,16:15,17:45,19:30
,28-Feb-22,05:30,12:45,16:15,17:47,19:30
