Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,06:00,12:45,16:15,17:49,19:30
,02-Mar-23,06:00,12:45,16:15,17:50,19:30
,03-Mar-23,05:45,12:45,16:15,17:51,19:45
,04-Mar-23,05:45,12:45,16:15,17:53,19:45
,05-Mar-23,05:45,12:45,16:15,17:55,19:45
,06-Mar-23,05:45,12:45,16:15,17:57,19:45
,07-Mar-23,05:45,12:45,16:15,17:58,19:45
,08-Mar-23,05:45,12:45,16:15,18:00,19:45
,09-Mar-23,05:45,12:45,16:15,18:02,19:45
,10-Mar-23,05:30,12:45,16:30,18:04,19:45
,11-Mar-23,05:30,12:45,16:30,18:05,19:45
,12-Mar-23,05:30,12:45,16:30,18:07,19:45
,13-Mar-23,05:30,12:45,16:30,18:09,19:45
,14-Mar-23,05:30,12:45,16:30,18:10,19:45
,15-Mar-23,05:30,12:45,16:30,18:12,19:45
,16-Mar-23,05:30,12:45,16:30,18:14,19:45
,17-Mar-23,05:30,12:45,16:45,18:16,19:45
,18-Mar-23,05:30,12:45,16:45,18:17,19:45
,19-Mar-23,05:30,12:45,16:45,18:18,19:45
,20-Mar-23,05:30,12:45,16:45,18:21,19:45
,21-Mar-23,05:30,12:45,16:45,18:22,19:45
,22-Mar-23,04:37,12:45,16:45,18:34,20:30
,23-Mar-23,04:36,12:45,16:45,18:36,20:30
,24-Mar-23,04:34,12:45,16:45,18:38,20:30
,25-Mar-23,04:31,12:45,16:45,18:39,20:30
,26-Mar-23,05:29,13:30,17:45,19:41,21:30
,27-Mar-23,05:28,13:30,17:45,19:43,21:30
,28-Mar-23,05:26,13:30,17:45,19:44,21:30
,29-Mar-23,05:24,13:30,17:45,19:46,21:30
,30-Mar-23,05:23,13:30,17:45,19:48,21:30
,31-Mar-23,05:20,13:30,18:00,19:49,21:30
