Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Nov-22,05:30,12:45,15:15,16:44,19:15
,02-Nov-22,05:30,12:45,15:15,16:42,19:15
,03-Nov-22,05:30,12:45,15:15,16:40,19:15
,04-Nov-22,05:30,12:30,15:00,16:38,19:15
,05-Nov-22,05:45,12:45,15:00,16:36,19:15
,06-Nov-22,05:45,12:45,15:00,16:35,19:15
,07-Nov-22,05:45,12:15,15:00,16:33,19:15
,08-Nov-22,05:45,12:45,15:00,16:31,19:15
,09-Nov-22,05:45,12:45,15:00,16:30,19:15
,10-Nov-22,05:45,12:45,15:00,16:28,19:15
,11-Nov-22,06:00,12:30,14:45,16:27,19:15
,12-Nov-22,06:00,12:45,14:45,16:25,19:15
,13-Nov-22,06:00,12:45,14:45,16:24,19:15
,14-Nov-22,06:00,12:45,14:45,16:22,19:15
,15-Nov-22,06:00,12:45,14:45,16:21,19:15
,16-Nov-22,06:00,12:45,14:45,16:19,19:15
,17-Nov-22,06:00,12:45,14:45,16:18,19:15
,18-Nov-22,06:00,12:30,14:30,16:17,19:15
,19-Nov-22,06:00,12:45,14:30,16:15,19:15
,20-Nov-22,06:00,12:45,14:30,16:14,19:15
,21-Nov-22,06:00,12:45,14:30,16:13,19:15
,22-Nov-22,06:00,12:45,14:30,16:12,19:15
,23-Nov-22,06:00,12:45,14:30,16:11,19:15
,24-Nov-22,06:00,12:45,14:30,16:10,19:15
,25-Nov-22,06:15,12:30,14:30,16:09,19:15
,26-Nov-22,06:15,12:45,14:30,16:08,19:15
,27-Nov-22,06:15,12:45,14:30,16:07,19:15
,28-Nov-22,06:15,12:45,14:30,16:06,19:15
,29-Nov-22,06:15,12:45,14:30,16:05,19:15
,30-Nov-22,06:15,12:45,14:30,16:04,19:15
