Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,06:00,13:30,17:00,18:49,20:15
,02-Oct-22,06:00,13:30,17:00,18:47,20:15
,03-Oct-22,06:00,13:30,17:00,18:44,20:15
,04-Oct-22,06:00,13:30,17:00,18:42,20:15
,05-Oct-22,06:00,13:30,17:00,18:40,20:15
,06-Oct-22,06:00,13:30,17:00,18:37,20:15
,07-Oct-22,06:15,13:30,16:45,18:35,20:15
,08-Oct-22,06:15,13:30,16:45,18:33,20:15
,09-Oct-22,06:15,13:30,16:45,18:31,20:15
,10-Oct-22,06:15,13:30,16:45,18:29,20:15
,11-Oct-22,06:15,13:30,16:45,18:26,20:15
,12-Oct-22,06:15,13:30,16:45,18:24,20:15
,13-Oct-22,06:15,13:30,16:45,18:22,20:15
,14-Oct-22,06:15,13:30,16:45,18:20,20:00
,15-Oct-22,06:15,13:30,16:45,18:18,20:00
,16-Oct-22,06:15,13:30,16:45,18:16,20:00
,17-Oct-22,06:15,13:30,16:45,18:13,20:00
,18-Oct-22,06:15,13:30,16:45,18:11,20:00
,19-Oct-22,06:15,13:30,16:45,18:09,20:00
,20-Oct-22,06:15,13:30,16:45,18:07,20:00
,21-Oct-22,06:30,13:30,16:30,18:05,19:45
,22-Oct-22,06:30,13:30,16:30,18:03,19:45
,23-Oct-22,06:30,13:30,16:30,18:01,19:45
,24-Oct-22,06:30,13:30,16:30,17:59,19:45
,25-Oct-22,06:30,13:30,16:30,17:57,19:45
,26-Oct-22,06:30,13:30,16:30,17:55,19:45
,27-Oct-22,06:30,13:30,16:30,17:53,19:45
,28-Oct-22,06:30,13:30,16:30,17:51,19:45
,29-Oct-22,06:30,13:30,16:30,17:49,19:45
,30-Oct-22,05:30,12:45,15:15,16:47,19:15
,31-Oct-22,05:30,12:45,15:15,16:45,19:15
