Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Apr-22,05:01,01:10,04:38,07:37,08:54,06:33,05:31
,02-Apr-22,04:59,01:09,04:38,07:38,08:55,06:31,05:33
,03-Apr-22,04:57,01:09,04:39,07:40,08:56,06:29,05:34
,04-Apr-22,04:55,01:09,04:40,07:42,08:58,06:27,05:35
,05-Apr-22,04:52,01:08,04:41,07:44,09:00,06:24,05:36
,06-Apr-22,04:50,01:08,04:42,07:45,09:01,06:22,05:38
,07-Apr-22,04:48,01:08,04:43,07:47,09:03,06:20,05:39
,08-Apr-22,04:46,01:08,04:44,07:49,09:05,06:18,05:40
,09-Apr-22,04:43,01:07,04:44,07:50,09:05,06:15,05:41
,10-Apr-22,04:41,01:07,04:45,07:52,09:07,06:13,05:42
,11-Apr-22,04:39,01:07,04:46,07:54,09:09,06:11,05:43
,12-Apr-22,04:37,01:06,04:47,07:55,09:10,06:09,05:45
,13-Apr-22,04:35,01:06,04:48,07:57,09:12,06:07,05:46
,14-Apr-22,04:32,01:06,04:48,07:59,09:14,06:04,05:47
,15-Apr-22,04:30,01:06,04:49,08:00,09:15,06:02,05:48
,16-Apr-22,04:28,01:05,04:50,08:02,09:17,06:00,05:49
,17-Apr-22,04:26,01:05,04:51,08:04,09:18,05:58,05:50
,18-Apr-22,04:23,01:05,04:52,08:05,09:19,05:56,05:51
,19-Apr-22,04:21,01:05,04:52,08:07,09:21,05:54,05:52
,20-Apr-22,04:19,01:05,04:53,08:09,09:23,05:52,05:53
,21-Apr-22,04:16,01:04,04:54,08:10,09:24,05:50,05:54
,22-Apr-22,04:14,01:04,04:54,08:12,09:26,05:48,05:56
,23-Apr-22,04:11,01:04,04:55,08:14,09:27,05:45,05:57
,24-Apr-22,04:08,01:04,04:56,08:15,09:28,05:43,05:58
,25-Apr-22,04:06,01:04,04:57,08:17,09:30,05:41,05:59
,26-Apr-22,04:04,01:03,04:57,08:19,09:31,05:39,06:00
,27-Apr-22,04:01,01:03,04:58,08:20,09:32,05:37,06:01
,28-Apr-22,04:00,01:03,04:59,08:22,09:34,05:36,06:02
,29-Apr-22,03:58,01:03,04:59,08:24,09:35,05:34,06:03
,30-Apr-22,03:55,01:03,05:00,08:25,09:36,05:32,06:04
