Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Aug-22,03:39,01:12,05:17,08:52,09:56,05:21,06:24
,02-Aug-22,03:41,01:12,05:16,08:50,09:54,05:23,06:23
,03-Aug-22,03:43,01:12,05:15,08:48,09:52,05:24,06:22
,04-Aug-22,03:45,01:12,05:14,08:47,09:51,05:26,06:21
,05-Aug-22,03:47,01:12,05:14,08:45,09:49,05:27,06:20
,06-Aug-22,03:49,01:12,05:13,08:43,09:48,05:29,06:19
,07-Aug-22,03:50,01:11,05:12,08:41,09:46,05:30,06:17
,08-Aug-22,03:53,01:11,05:11,08:40,09:45,05:32,06:16
,09-Aug-22,03:55,01:11,05:10,08:38,09:43,05:34,06:15
,10-Aug-22,03:56,01:11,05:09,08:36,09:41,05:35,06:14
,11-Aug-22,03:59,01:11,05:08,08:34,09:40,05:37,06:13
,12-Aug-22,04:00,01:11,05:07,08:32,09:38,05:38,06:11
,13-Aug-22,04:02,01:11,05:06,08:30,09:36,05:40,06:10
,14-Aug-22,04:04,01:10,05:05,08:28,09:34,05:41,06:09
,15-Aug-22,04:06,01:10,05:04,08:26,09:32,05:43,06:07
,16-Aug-22,04:08,01:10,05:03,08:24,09:31,05:45,06:06
,17-Aug-22,04:10,01:10,05:02,08:22,09:29,05:46,06:04
,18-Aug-22,04:12,01:10,05:01,08:20,09:27,05:48,06:03
,19-Aug-22,04:13,01:09,05:00,08:18,09:25,05:49,06:02
,20-Aug-22,04:16,01:09,04:59,08:16,09:23,05:51,06:00
,21-Aug-22,04:18,01:09,04:58,08:14,09:22,05:53,05:59
,22-Aug-22,04:19,01:09,04:57,08:12,09:20,05:54,05:57
,23-Aug-22,04:22,01:08,04:55,08:10,09:18,05:56,05:55
,24-Aug-22,04:23,01:08,04:54,08:08,09:16,05:57,05:54
,25-Aug-22,04:25,01:08,04:53,08:06,09:15,05:59,05:52
,26-Aug-22,04:28,01:07,04:52,08:03,09:12,06:01,05:51
,27-Aug-22,04:29,01:07,04:50,08:01,09:10,06:02,05:49
,28-Aug-22,04:31,01:07,04:49,07:59,09:08,06:04,05:47
,29-Aug-22,04:33,01:07,04:48,07:57,09:07,06:05,05:46
,30-Aug-22,04:35,01:06,04:46,07:55,09:05,06:07,05:44
,31-Aug-22,04:36,01:06,04:45,07:52,09:02,06:08,05:42
