Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Dec-22,05:59,11:55,01:37,03:58,05:35,07:41,02:09
,02-Dec-22,06:00,11:55,01:37,03:58,05:35,07:42,02:08
,03-Dec-22,06:02,11:55,01:37,03:57,05:34,07:44,02:08
,04-Dec-22,06:03,11:56,01:36,03:57,05:34,07:45,02:08
,05-Dec-22,06:04,11:56,01:36,03:56,05:33,07:46,02:07
,06-Dec-22,06:05,11:57,01:36,03:56,05:33,07:47,02:07
,07-Dec-22,06:07,11:57,01:36,03:55,05:32,07:49,02:07
,08-Dec-22,06:08,11:58,01:36,03:55,05:32,07:50,02:06
,09-Dec-22,06:09,11:58,01:36,03:55,05:32,07:51,02:06
,10-Dec-22,06:10,11:58,01:36,03:55,05:32,07:52,02:06
,11-Dec-22,06:11,11:59,01:36,03:55,05:32,07:53,02:06
,12-Dec-22,06:12,11:59,01:36,03:54,05:31,07:54,02:06
,13-Dec-22,06:13,12:00,01:36,03:54,05:31,07:55,02:06
,14-Dec-22,06:14,12:00,01:36,03:55,05:32,07:56,02:06
,15-Dec-22,06:15,12:01,01:36,03:55,05:32,07:57,02:06
,16-Dec-22,06:17,12:01,01:36,03:55,05:32,07:58,02:06
,17-Dec-22,06:17,12:02,01:37,03:55,05:32,07:58,02:07
,18-Dec-22,06:18,12:02,01:37,03:55,05:32,07:59,02:07
,19-Dec-22,06:19,12:03,01:37,03:56,05:33,08:00,02:07
,20-Dec-22,06:20,12:03,01:38,03:56,05:33,08:00,02:08
,21-Dec-22,06:21,12:04,01:38,03:57,05:34,08:01,02:08
,22-Dec-22,06:21,12:04,01:39,03:57,05:34,08:01,02:09
,23-Dec-22,06:22,12:05,01:39,03:58,05:35,08:02,02:09
,24-Dec-22,06:22,12:05,01:40,03:58,05:35,08:02,02:10
,25-Dec-22,06:22,12:06,01:41,03:59,05:36,08:02,02:10
,26-Dec-22,06:25,12:06,01:41,04:00,05:37,08:03,02:11
,27-Dec-22,06:25,12:07,01:42,04:00,05:37,08:03,02:12
,28-Dec-22,06:25,12:07,01:43,04:01,05:38,08:03,02:13
,29-Dec-22,06:26,12:08,01:44,04:02,05:39,08:03,02:14
,30-Dec-22,06:26,12:08,01:44,04:03,05:40,08:03,02:14
,31-Dec-22,06:26,12:09,01:45,04:04,05:41,08:03,02:15
