Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Jan-23,6:26,12:09,1:46,4:05,5:42,8:03,2:16
,02-Jan-23,6:26,12:10,1:47,4:06,5:43,8:03,2:17
,03-Jan-23,6:26,12:10,1:48,4:07,5:44,8:03,2:18
,04-Jan-23,6:26,12:10,1:49,4:08,5:45,8:03,2:20
,05-Jan-23,6:25,12:11,1:50,4:10,5:47,8:02,2:21
,06-Jan-23,6:25,12:11,1:51,4:11,5:48,8:02,2:22
,07-Jan-23,6:25,12:12,1:52,4:12,5:49,8:02,2:23
,08-Jan-23,6:24,12:12,1:53,4:13,5:50,8:01,2:24
,09-Jan-23,6:24,12:13,1:54,4:15,5:52,8:01,2:26
,10-Jan-23,6:23,12:13,1:56,4:16,5:53,8:00,2:27
,11-Jan-23,6:23,12:13,1:57,4:18,5:55,8:00,2:28
,12-Jan-23,6:22,12:14,1:58,4:19,5:56,7:59,2:30
,13-Jan-23,6:21,12:14,1:59,4:20,5:57,7:58,2:31
,14-Jan-23,6:21,12:15,2:00,4:22,5:59,7:58,2:33
,15-Jan-23,6:20,12:15,2:02,4:24,6:01,7:57,2:34
,16-Jan-23,6:19,12:15,2:03,4:25,6:02,7:56,2:36
,17-Jan-23,6:18,12:16,2:04,4:27,6:04,7:55,2:37
,18-Jan-23,6:17,12:16,2:06,4:28,6:05,7:54,2:39
,19-Jan-23,6:16,12:16,2:07,4:30,6:07,7:53,2:40
,20-Jan-23,6:15,12:17,2:08,4:32,6:09,7:52,2:42
,21-Jan-23,6:14,12:17,2:10,4:33,6:10,7:51,2:43
,22-Jan-23,6:13,12:17,2:11,4:35,6:12,7:50,2:45
,23-Jan-23,6:12,12:17,2:12,4:37,6:14,7:49,2:47
,24-Jan-23,6:10,12:18,2:14,4:38,6:15,7:47,2:48
,25-Jan-23,6:09,12:18,2:15,4:40,6:17,7:46,2:50
,26-Jan-23,6:08,12:18,2:17,4:42,6:19,7:45,2:51
,27-Jan-23,6:07,12:18,2:18,4:44,6:21,7:44,2:53
,28-Jan-23,6:05,12:19,2:20,4:45,6:22,7:42,2:55
,29-Jan-23,6:04,12:19,2:21,4:47,6:24,7:41,2:57
,30-Jan-23,6:02,12:19,2:22,4:49,6:26,7:39,2:58
,31-Jan-23,6:01,12:19,2:24,4:51,6:28,7:38,3:00
